section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,1,1689708354155455795,1689708355008581795,853,825.494,430.879,1.1898489562147827,11.340096548593742
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,2,1689708355117988795,1689708358286723795,3168,826.819,450.813,1.2727821951988774,10.056332789342374
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,3,1689708358362500795,1689708361577744795,3215,1042.793,172.885,16.4781945122902,27.570318667495886
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,4,1689708361668234795,1689708365193300795,3525,662.151,224.323,-9.94503459140497,24.481428995446674
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,5,1689708365286862795,1689708368683630795,3396,575.514,703.068,-14.987274364550323,-6.137027178796013
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,6,1689708368758714795,1689708368864879795,106,967.525,692.153,10.368609476363723,-5.482342527446486
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,7,1689708368889956795,1689708372424272795,3534,1008.189,694.346,12.997321677524326,-5.603151574515715
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,8,1689708372583650795,1689708376646400795,4062,834.89,433.27,1.8033572567271163,11.18515788723148
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,9,1689708376936761795,1689708377067988795,131,664.616,1204.518,-10.85266949678939,-38.33196165144586
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,10,1689708377093029795,1689708377420692795,327,642.185,1246.733,-12.93660690756171,-41.02017942566399
3a4949b1-4342-440b-ae79-14d47949d470,e9b61042-4af0-4619-81e8-e1bc9229b938,11,1689708377502464795,1689708377749256795,246,619.889,1241.223,-14.623263625323304,-40.582775701085396
