section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,1,1690402200117009588,1690402200220718588,103,782.319,639.412,-1.6143220186704206,-2.1119944090385476
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,2,1690402200260757588,1690402200385734588,124,877.104,705.523,4.523839660932431,-6.371491113244212
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,3,1690402200526470588,1690402201311314588,784,636.025,1233.302,-13.288573695432994,-40.12320103590286
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,4,1690402201523833588,1690402201967624588,443,849.296,688.676,2.7183475132969335,-5.289869952926744
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,5,1690402202023328588,1690402202198333588,175,1067.513,771.961,16.95753177863879,-10.490818110338607
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,6,1690402202232620588,1690402202309371588,76,1154.954,728.538,22.525817966229457,-7.643420804280915
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,7,1690402202388909588,1690402202788926588,400,613.405,761.444,-12.615780940461047,-9.888678163178483
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,8,1690402202832670588,1690402202967548588,134,755.371,738.815,-3.3751174907423978,-8.51858455910653
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,9,1690402203071251588,1690402203307688588,236,1271.404,698.54,29.991028779944333,-5.644629032367196
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,10,1690402203445174588,1690402203829550588,384,646.251,752.58,-10.47222662827388,-9.349872046356007
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,11,1690402203879538588,1690402203970196588,90,818.469,734.739,0.7257678645755712,-8.262092730676178
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,12,1690402204070189588,1690402206145165588,2074,1311.601,702.352,32.61238458551012,-5.831343890832323
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,13,1690402206285848588,1690402206370246588,84,665.801,761.053,-9.212234585574521,-9.906603881463209
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,14,1690402206401725588,1690402206773312588,371,591.375,772.979,-14.065348645047804,-10.601302013937698
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,15,1690402206817564588,1690402207313934588,496,790.933,744.487,-1.064491044443654,-8.88962426862112
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,16,1690402207338891588,1690402207588924588,250,802.751,688.22,-0.2949532932980426,-5.262433739484287
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,17,1690402207641971588,1690402207823280588,181,832.23,480.79,1.6197424403258485,8.12427905890077
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,18,1690402207873275588,1690402208808003588,934,799.275,716.517,-0.5208120621392961,-7.087432854150494
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,19,1690402208845452588,1690402209188919588,343,911.276,720.764,6.746269626222406,-7.342681177451051
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,20,1690402209229560588,1690402209335797588,106,794.326,707.156,-0.8412967997756988,-6.48357659979069
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,21,1690402209364906588,1690402209585840588,220,765.052,606.682,-2.7284098054747754,0.0008023923674395019
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,22,1690402209688935588,1690402212582772588,2893,751.739,570.174,-3.5894485221662658,2.3560707774436422
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,23,1690402212698516588,1690402225113871588,12415,750.256,576.971,-3.68458156113484,1.9175403886214433
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,24,1690402225188888588,1690402237429783588,12240,580.479,370.119,-14.943593504325833,15.058423370569978
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,25,1690402237538989588,1690402249445185588,11906,988.019,324.916,12.044368917627565,18.016347215711715
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,26,1690402249532669588,1690402249717059588,184,758.02,656.446,-3.1851544523739346,-3.2098465437914365
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,27,1690402249767181588,1690402249898498588,131,732.333,791.903,-4.903459461683148,-11.925639336086839
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,28,1690402249942090588,1690402250398333588,456,756.078,576.296,-3.3087985328964056,1.9613825018344941
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,29,1690402250473568588,1690402250823609588,350,743.097,860.932,-4.249972952986743,-16.362149772002983
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,30,1690402250914094588,1690402251132849588,218,955.654,797.945,9.714079263128399,-12.268285964209133
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,31,1690402251257671588,1690402265035807588,13778,951.263,773.703,9.393952932193775,-10.71940012850689
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,32,1690402265145100588,1690402277051409588,11906,559.935,843.256,-16.289982155004815,-15.018374492300797
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,33,1690402277110775588,1690402279357742588,2246,754.985,566.406,-3.380243919184845,2.599361992022571
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,34,1690402279495397588,1690402281302051588,1806,567.464,349.731,-15.863778368553321,16.329342226384256
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,35,1690402281395156588,1690402282448367588,1053,979.034,319.64,11.461010042696897,18.366105742404788
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,36,1690402282551394588,1690402283567578588,1016,980.61,318.239,11.570023151001013,18.453161905369356
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,37,1690402283688917588,1690402286629537588,2940,943.43,784.029,8.896035048979348,-11.38681144583498
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,38,1690402286736022588,1690402289298282588,2562,562.813,848.92,-16.118858801353376,-15.382132315425256
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,39,1690402289400454588,1690402289782664588,382,541.237,1089.093,-18.957665116648453,-30.51849414020583
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,40,1690402289970171588,1690402290082813588,112,1223.901,1180.594,31.30053183972543,-35.5479309030234
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,41,1690402290107616588,1690402290232861588,125,1142.783,1207.428,25.65690471277302,-37.73952086736207
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,42,1690402290248509588,1690402290435812588,187,1052.226,1179.269,18.40391414952732,-36.38370437338666
90f1bcc7-16c8-4680-9bd1-d43b7385172f,7a8b312d-112f-415b-8d95-5b566a343a54,43,1690402290504606588,1690402292029462588,1524,1059.198,1197.285,19.148375860625812,-37.512864783017136
