section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057438392313,-0.650406,0.28801,0.120163,0.026367,-0.480957,0.866211,-2.6950258788916144,-28.980657326899635,84.16922583898302,0.7144052386283875,-0.1703891009092331,-0.18455316126346588,0.6530925631523132
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057442052313,-0.4673,-0.078201,0.062943,0.039551,-0.489258,0.876465,-2.694602976518796,-28.981269838551533,84.12663479459297,0.7146475315093994,-0.17046397924423218,-0.1844906210899353,0.6528254747390747
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057445712313,-0.713348,-0.198364,0.062943,0.029297,-0.486328,0.87207,-2.691691644244912,-28.981838492417026,84.07469499790564,0.7149470448493958,-0.17056775093078613,-0.1843983680009842,0.6524963974952698
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057449372313,-0.711441,-0.383377,0.303268,0.037598,-0.480469,0.881348,-2.6907432792191246,-28.98030232153078,84.01990064146601,0.7152631878852844,-0.1706516146659851,-0.18430224061012268,0.6521550416946411
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057453032313,0.143051,-0.444412,0.429153,0.03418,-0.494141,0.872559,-2.689050416945303,-28.982261638075197,83.96530902568755,0.7155730724334717,-0.17076142132282257,-0.18422134220600128,0.65180903673172
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057456692313,0.44632,-0.320435,0.917435,0.035645,-0.498535,0.865723,-2.6878047712060287,-28.985737199657017,83.92713885343103,0.7157860398292542,-0.17085185647010803,-0.18417616188526154,0.6515640616416931
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057460352313,0.56839,-0.015259,0.368118,0.038086,-0.478027,0.871582,-2.6871028838843647,-28.984744013250893,83.8921646518934,0.7159877419471741,-0.17090576887130737,-0.18411405384540558,0.6513458490371704
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057464012313,0.814438,-0.623703,-0.059128,0.04248,-0.46875,0.865234,-2.6875661527272285,-28.982653139926878,83.85744121149425,0.7161880135536194,-0.1709456741809845,-0.184053435921669,0.6511324048042297
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057467672313,0.751495,-0.320435,-0.059128,0.030762,-0.483887,0.869141,-2.685080457580387,-28.983057378616817,83.81982903777025,0.7164049744606018,-0.17102275788784027,-0.18398404121398926,0.6508930325508118
415a96dc-06db-4621-bcc1-f437d85f5ad4,b0f1bc87-e702-42fe-b547-9d26eb4e4411,1692820057471332313,0.999451,-0.198364,-0.303268,0.03125,-0.47998,0.874023,-2.6826701284770658,-28.98221865067959,83.78145392808813,0.7166282534599304,-0.17109273374080658,-0.18390698730945587,0.6506506204605103
