section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264095225957,804.801,450.307,1.0,,,-1.370260018140931,10.63583829406843
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264102643957,811.315,467.827,1.0,,,-0.9392961992835771,9.496756693357133
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264104594957,812.982,477.564,1.0,,,-0.8289382267465253,8.863197777171873
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264110981957,816.917,514.975,1.0,,,-0.5689283746835273,6.426946245076412
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264117113957,814.655,547.969,1.0,,,-0.7156224828260858,4.276425158168997
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264120165957,813.885,554.144,1.0,,,-0.7656844157328958,3.8737522261269954
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264126466957,812.601,557.691,1.0,,,-0.8494169298529511,3.642430923485889
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264129833957,813.856,547.915,1.0,,,-0.7677891244227657,4.2798751447252155
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264135853957,817.276,527.177,1.0,,,-0.5450407119604705,5.631826104580403
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264145366957,813.415,554.429,1.0,,,-0.7963715544852982,3.8551458304213297
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264152123957,813.317,539.434,1.0,,,-0.8032937760059488,4.832743300651179
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264154637957,815.262,536.225,1.0,,,-0.6763795541251076,5.041987715408117
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264160829957,815.762,522.08,1.0,,,-0.6441997642658772,5.963940249951566
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264167260957,813.961,548.996,1.0,,,-0.760917202904342,4.209448424144394
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264171577957,815.164,543.301,1.0,,,-0.6825383979667324,4.580751089554891
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264176483957,815.211,538.243,1.0,,,-0.6796318695301268,4.910440926952443
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264179711957,815.136,535.314,1.0,,,-0.6846399827813899,5.1013706722617425
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264185825957,816.733,533.766,1.0,,,-0.5802884512787345,5.202334553335118
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264192213957,816.311,528.605,1.0,,,-0.6080693917088308,5.5386948757890515
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264195200957,836.607,573.065,1.0,,,0.7170742046822441,2.6400375124780124
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264201498957,856.728,599.704,1.0,,,2.0285032624105677,0.9023764618607628
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264204703957,864.339,611.877,1.0,,,2.524553341152042,0.10845767190342169
ec20c864-7b64-41f2-af94-aba93ec23d8a,2d3e22e7-6c79-4937-aad9-d9c7cae581c4,1692828264210832957,869.951,622.896,1.0,,,2.890438589617677,-0.6099064365198811
