section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761413490867,783.715,662.487,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761418490867,789.566,671.978,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761423490867,812.492,683.101,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761428490867,777.306,684.499,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761433615867,768.284,683.005,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761438615867,775.273,679.357,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761443615867,781.305,679.666,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761448615867,809.022,679.979,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761453615867,782.449,680.271,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761458615867,786.433,684.35,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761463615867,787.443,687.235,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761468615867,790.85,684.449,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761473626867,771.943,686.1,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761478615867,762.851,681.985,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761483616867,769.06,690.916,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761488616867,769.96,681.351,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761493616867,761.617,675.826,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761498616867,749.689,671.782,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761503616867,735.442,672.388,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761508616867,747.619,668.475,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761513619867,752.472,669.538,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761518616867,758.662,657.001,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761523616867,765.808,661.189,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761528616867,761.284,662.794,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761533616867,767.037,664.665,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761538630867,749.247,665.951,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761543616867,747.148,651.663,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761548616867,751.79,655.684,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761553618867,759.193,666.237,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761558618867,759.247,666.715,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761563616867,761.049,667.496,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761568626867,767.978,668.682,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761573741867,769.05,672.204,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761578741867,765.933,675.664,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761583741867,768.72,674.948,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761588742867,762.428,673.659,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761593742867,764.56,676.549,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761598742867,766.781,670.718,1,,,25000000.0,0
a3344ac8-8f52-4bba-8249-af1488922e70,42958cc9-2776-40b5-8cec-516fce704ccd,1692829761603745867,774.626,675.023,1,,,25000000.0,0
