section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464500650347,752.243,1206.245,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464505651347,759.437,1206.559,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464510666347,764.392,1207.46,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464515652347,757.621,1209.374,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464520651347,758.975,1212.781,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464525651347,752.049,1212.557,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464530661347,749.703,1214.163,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464535668347,743.804,1214.086,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464540657347,740.721,1217.698,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464545651347,729.065,1220.061,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464550651347,719.744,1221.417,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464555651347,723.052,1223.366,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464560651347,719.812,1227.383,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464565651347,722.858,1228.616,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464570651347,716.14,1227.385,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464575776347,704.091,1226.493,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464580661347,691.734,1225.388,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464585777347,692.642,1224.439,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464590776347,686.3,1223.647,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464595776347,681.515,1223.019,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464600777347,680.702,1222.356,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464605784347,674.865,1222.008,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464610777347,667.468,1222.264,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464615777347,657.072,1223.566,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464620777347,650.145,1227.467,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464625781347,652.798,1231.689,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464630777347,650.336,1245.224,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464635777347,641.371,1241.9,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464640782347,634.203,1239.776,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464645781347,631.702,1237.439,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464650777347,627.392,1237.737,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464655783347,633.709,1239.016,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464660777347,627.551,1237.669,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464665777347,619.359,1237.088,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464670777347,623.83,1237.331,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464675777347,619.901,1236.047,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464680777347,615.319,1234.947,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464685781347,609.319,1234.63,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464690777347,604.275,1234.333,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464700778347,612.784,1235.394,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464705778347,602.307,1234.566,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464710782347,612.382,1235.787,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464715903347,622.12,1242.394,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464720903347,628.9,1246.036,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464725903347,625.747,1244.379,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464730903347,626.009,1245.389,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464735903347,623.189,1244.364,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464740906347,618.696,1241.669,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464745911347,619.395,1244.397,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464750903347,624.315,1259.952,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464755915347,625.362,1259.258,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464760903347,626.671,1258.351,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464765911347,614.908,1255.587,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464770903347,620.344,1253.374,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464775903347,617.909,1251.87,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464780903347,606.884,1249.181,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464785903347,609.109,1251.244,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464790903347,612.412,1249.801,1,,,25000000.0,0
b403132e-9d5d-4287-b576-262d0848daaf,4a52c81b-70f1-4f99-88b2-3165998ea7e8,1694704464795904347,610.623,1249.368,1,,,25000000.0,0
