section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,1,1695669585994717549,1695669590794813549,4800,735.275,610.568,-5.886638994710872,0.19361267696038606
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,2,1695669590860517549,1695669591038763549,178,736.391,607.131,-5.814079687776265,0.41732675425262566
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,3,1695669591088711549,1695669591261109549,172,842.874,594.65,1.1253351231918598,1.2321318523399323
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,4,1695669591676681549,1695669591800488549,123,773.408,767.555,-3.4334286345355522,-10.027036428984816
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,5,1695669592332261549,1695669592601044549,268,681.902,526.609,-9.386408961427913,5.6384093189786935
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,6,1695669592944440549,1695669593035419549,90,823.703,653.571,-0.12471870058613249,-2.610894333251333
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,7,1695669593532339549,1695669593616678549,84,690.519,509.338,-8.83594788712707,6.761901297852861
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,8,1695669593651049549,1695669593776132549,125,859.466,492.218,2.2203193485192445,7.907574495304248
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,9,1695669593901377549,1695669594066695549,165,816.814,469.212,-0.5777410068322141,9.407034679737475
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,10,1695669594107276549,1695669594769820549,662,737.915,474.784,-5.757687033079842,9.025945661761595
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,11,1695669594813565549,1695669595038660549,225,725.66,524.554,-6.532672475513046,5.787446980696173
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,12,1695669595069861549,1695669595158714549,88,696.218,601.069,-8.428464974956766,0.8101829595173137
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,13,1695669595188830549,1695669595270114549,81,700.164,570.802,-8.177215667869557,2.7762406058316715
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,14,1695669595319810549,1695669596263536549,943,770.86,563.903,-3.572356663046148,3.2349172407292808
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,15,1695669596288537549,1695669596588550549,300,815.222,569.623,-0.6780349967106699,2.8644541988780525
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,16,1695669596613576549,1695669596976063549,362,796.825,526.817,-1.8821557480747506,5.654024937539266
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,17,1695669596994791549,1695669597079211549,84,794.272,535.729,-2.0478931969212204,5.073071025433772
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,18,1695669597160431549,1695669597244817549,84,788.903,568.211,-2.3950582908937132,2.9555132343903283
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,19,1695669597785695549,1695669598060447549,274,924.233,779.983,6.498681425988091,-10.816846972387482
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,20,1695669598095020549,1695669598410510549,315,800.375,887.48,-1.6923222888935525,-17.811524265930306
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,21,1695669598516674549,1695669598676157549,159,899.601,1035.366,5.210626673071998,-27.342286759195957
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,22,1695669598732329549,1695669598897945549,165,746.333,854.292,-5.2842280495988065,-15.638827305082227
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,23,1695669598941792549,1695669599041848549,100,910.137,1082.059,6.073735564401033,-30.351190924982646
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,24,1695669599091691549,1695669599198137549,106,982.256,1208.962,12.09153848099214,-38.47647255691237
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,25,1695669599266691549,1695669599413683549,146,989.475,955.646,11.206857992867564,-22.081514081249274
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,26,1695669599438565549,1695669599516657549,78,993.258,1022.409,11.730565078178712,-26.364129859983837
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,27,1695669599707376549,1695669599788746549,81,888.414,879.728,4.214550742084938,-17.29720206477427
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,28,1695669599930575549,1695669600016856549,86,974.932,992.205,10.335821172947835,-24.457015694663266
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,29,1695669600219763549,1695669600813526549,593,717.262,774.688,-7.129673359548571,-10.465358929281885
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,30,1695669600857434549,1695669601160817549,303,864.203,932.762,2.6266883302795585,-20.737460584727387
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,31,1695669601360564549,1695669601601109549,240,992.012,967.254,11.421127510956852,-22.8227836076007
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,32,1695669601635386549,1695669601735499549,100,898.688,965.015,5.017858339435408,-22.800768717943228
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,33,1695669601819829549,1695669602579435549,759,818.781,947.141,-0.461249175844738,-21.673197077990427
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,34,1695669602616662549,1695669602710579549,93,886.081,1017.567,4.230368997270168,-26.203705861976747
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,35,1695669602819831549,1695669603032372549,212,843.494,388.283,1.1916337896884681,14.666283395605063
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,36,1695669603091733549,1695669603176094549,84,854.531,804.194,1.9136431955237707,-12.413318204339207
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,37,1695669603207390549,1695669603317438549,110,839.472,756.008,0.9113012451427138,-9.283515980133027
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,38,1695669603357346549,1695669603444756549,87,771.761,461.19,-3.541684396965107,9.921340848864308
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,39,1695669603516699549,1695669604651509549,1134,792.451,512.279,-2.1702980560064256,6.600711307701245
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,40,1695669604676126549,1695669605347996549,671,817.665,552.218,-0.5189685210535783,3.9994521672916945
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,41,1695669605463535549,1695669605688575549,225,1302.761,1128.746,35.03483743004231,-31.76783332639814
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,42,1695669605857775549,1695669605989012549,131,824.208,536.205,-0.09178978353756628,5.043538104081514
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,43,1695669606054912549,1695669608651036549,2596,819.836,591.061,-0.37686602564852867,1.4662813153081427
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,44,1695669608682311549,1695669610975975549,2293,829.21,595.237,0.2343844429090251,1.193934345974248
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,45,1695669610997887549,1695669614357359549,3359,837.842,593.13,0.797240687824749,1.3313201354950865
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,46,1695669614469813549,1695669614635403549,165,1258.807,1154.882,32.261695928403086,-33.678576944017934
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,47,1695669614998158549,1695669618860471549,3862,821.468,612.342,-0.2704248447134731,0.07813039280284681
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,48,1695669618891943549,1695669619266611549,374,841.065,539.421,1.009633196836209,4.833654991441323
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,49,1695669619316646549,1695669619482531549,165,862.723,451.142,2.4457199886984564,10.579766886198913
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,50,1695669619516768549,1695669619610675549,93,767.673,388.617,-3.8517613533583592,14.63197210165739
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,51,1695669619676181549,1695669619776058549,99,815.229,649.172,-0.677390858594941,-2.3239162658523846
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,52,1695669619876103549,1695669620060443549,184,917.287,992.75,6.351348190388689,-24.573180492461045
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,53,1695669620191964549,1695669620382317549,190,810.215,370.645,-1.0255682392477163,15.810338171814845
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,54,1695669620476036549,1695669620600980549,124,708.761,714.609,-7.641597965905272,-6.56473513605836
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,55,1695669621013543549,1695669621151918549,138,597.373,334.508,-15.32013490793868,17.918825831838955
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,56,1695669621498014549,1695669621663726549,165,1156.612,1118.529,24.16000765994745,-31.963311384218688
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,57,1695669621697956549,1695669621773113549,75,1215.865,1002.627,27.067432954152952,-24.394287513794897
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,58,1695669622163538549,1695669622319770549,156,881.971,571.592,3.6765555205791998,2.734148878413096
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,59,1695669622338585549,1695669622454317549,115,826.811,501.028,0.07879286512787238,7.335806481536598
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,60,1695669622488602549,1695669622613588549,124,946.581,515.398,7.9135712735983255,6.376758833177089
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,61,1695669622638508549,1695669622719781549,81,920.96,490.981,6.252187936755122,7.972604221785477
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,62,1695669622763580549,1695669622873786549,110,840.106,560.097,0.9458684694239704,3.485620272233543
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,63,1695669623091262549,1695669623179121549,87,694.9,639.453,-8.515695416035946,-1.6821429628347202
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,64,1695669623213548549,1695669625395320549,2181,767.778,551.953,-3.77524776415796,4.013100057968381
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,65,1695669625441713549,1695669625591650549,149,748.793,579.546,-5.008666368775187,2.213891550983473
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,66,1695669625626532549,1695669625766604549,140,774.321,534.338,-3.351483231773629,5.161423739809601
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,67,1695669625898273549,1695669626147893549,249,730.773,699.555,-6.196896915943541,-5.594531807860022
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,68,1695669626176032549,1695669626388688549,212,829.055,695.885,0.22505771405469854,-5.369237178786824
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,69,1695669626422983549,1695669626563562549,140,840.805,737.632,0.9968067202253158,-8.087741778058486
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,70,1695669626616747549,1695669626772898549,156,753.38,730.803,-4.7320704679490975,-7.632500530598181
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,71,1695669626966660549,1695669627048001549,81,825.153,567.839,-0.030096776411051563,2.980881889102106
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,72,1695669627107527549,1695669627363623549,256,726.972,654.628,-6.43107602733814,-2.6725286951579803
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,73,1695669627844855549,1695669627938540549,93,933.747,543.181,7.0614474677785815,4.57576326014591
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,74,1695669628044920549,1695669628235407549,190,794.911,584.654,-2.0022474325630517,1.883682818189717
fbbbbcf6-2f67-4f12-bf04-2dc8e43ffc65,aedb5abb-5530-411c-a4b5-d08efb777a20,75,1695669628270030549,1695669628463589549,193,781.069,630.904,-2.904008043735852,-1.1319131316943782
