section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,1,1695754536708230389,1695754536938142389,229,505.906,697.982,-20.814968299791555,-5.363596232423466
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,2,1695754536981859389,1695754537094344389,112,816.479,708.098,-0.5973263524950231,-6.164774618871129
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,3,1695754537122826389,1695754537759953389,637,879.326,732.02,3.521059942062701,-7.717518376117701
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,4,1695754537844326389,1695754538463097389,618,507.928,709.295,-20.700572081556185,-6.083937750643625
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,5,1695754538528661389,1695754538669292389,140,815.298,708.114,-0.6745670845229879,-6.165726861042479
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,6,1695754538694337389,1695754540266274389,1571,880.179,748.737,3.5830363258170403,-8.804579748720982
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,7,1695754540350524389,1695754541216152389,865,504.067,701.312,-20.938796830956427,-5.573521580914599
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,8,1695754541288045389,1695754541438123389,150,821.488,734.773,-0.27005351846261494,-7.901946424001184
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,9,1695754541463296389,1695754541991172389,527,872.702,760.349,3.0963325773667383,-9.561247048114984
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,10,1695754542063250389,1695754542872403389,809,515.096,710.9,-20.238381301624287,-6.192701834832059
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,11,1695754542963050389,1695754543303653389,340,629.373,708.605,-12.813243701386533,-6.135197309279239
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,12,1695754543344317389,1695754544019455389,675,512.657,726.905,-20.423549295853036,-7.207450446487185
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,13,1695754544109935389,1695754544844232389,734,1049.804,724.102,14.663002910041403,-7.117057313764283
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,14,1695754544925599389,1695754545647687389,722,506.431,747.516,-20.86965557395895,-8.508574461999615
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,15,1695754545741203389,1695754545866561389,125,1052.489,724.561,14.838720468178115,-7.144412397737463
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,16,1695754545941133389,1695754546456881389,515,1075.017,723.829,16.30626801464614,-7.078609563525629
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,17,1695754546581845389,1695754546913113389,331,487.689,751.042,-22.096824223648067,-8.706485600940349
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,18,1695754546975855389,1695754547448497389,472,503.647,743.871,-21.042685082924155,-8.273781348136234
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,19,1695754547556794389,1695754548203845389,647,1079.247,734.56,16.598273769883132,-7.762612338648311
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,20,1695754548281786389,1695754549178653389,896,1069.125,733.869,15.936913568008743,-7.727884462951255
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,21,1695754549214284389,1695754549359924389,145,899.328,756.922,4.844392646736436,-9.3309705772672
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,22,1695754549515881389,1695754549817191389,301,738.635,763.603,-5.716668031820234,-9.75763040798594
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,23,1695754549866335389,1695754549978638389,112,581.418,753.445,-15.99725040739019,-8.97743011335575
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,24,1695754550003931389,1695754550425576389,421,522.496,749.992,-19.829779717781975,-8.686727036145951
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,25,1695754550475594389,1695754550644382389,168,716.432,751.547,-7.16486325529977,-8.964693316907717
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,26,1695754550675524389,1695754551807014389,1131,742.79,654.896,-5.400657107455788,-2.6920697143184973
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,27,1695754551847384389,1695754552728724389,881,741.328,743.017,-5.527494271078626,-8.422098552410453
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,28,1695754552756810389,1695754554950588389,2193,719.221,633.362,-6.932486023119106,-1.2887177493419646
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,29,1695754554975968389,1695754555241232389,265,724.979,807.5,-6.652665349427948,-12.595840451374734
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,30,1695754555303717389,1695754556441182389,1137,726.792,920.51,-6.685085466367478,-19.90071699885016
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,31,1695754556484920389,1695754561731804389,5246,711.005,800.095,-7.567078536861382,-12.1067197174044
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,32,1695754561894281389,1695754564904306389,3010,715.475,791.663,-7.26343874094978,-11.563953110011672
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,33,1695754564985138389,1695754565204186389,219,723.469,646.846,-6.657808695810726,-2.1659923839123096
fcd3b5f9-9b69-43db-a6d2-4ac1157ae771,c70c98f7-180c-4e91-8b7a-d2665cf54c69,34,1695754565263044389,1695754570122457389,4859,706.792,755.066,-7.799692786084066,-9.187542345417846
