section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147713579196,2.471924,-1.556396,-7.84111,-0.102051,0.029297,1.00293,4.695536166047245,1.3056848857946743,-111.70315346072442,0.5612173080444336,0.040290240198373795,0.013572035357356071,-0.8265758156776428
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147716429196,2.653122,-1.79863,-7.966995,-0.100098,0.019531,0.984375,4.692667091158579,1.313715360620425,-111.7356579511294,0.5609850883483887,0.04031264781951904,0.013488586992025375,-0.8267337083816528
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147719279196,2.653122,-1.676559,-8.573532,-0.097168,0.023438,0.978027,4.6898830181914635,1.3223798699493754,-111.77156084595093,0.5607284307479858,0.04033912345767021,0.013399769552052021,-0.8269079923629761
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147722129196,2.412796,-1.79863,-8.329391,-0.09668,0.025391,0.987305,4.686284897160918,1.3304175835778693,-111.80633371655765,0.5604798197746277,0.04035647585988045,0.013311878778040409,-0.8270770907402039
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147724979196,2.103806,-1.859665,-8.756638,-0.09375,0.029297,1.000488,4.6816168602141275,1.337730773047118,-111.83472598855721,0.5602771639823914,0.04036178067326546,0.013226228766143322,-0.8272154927253723
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147727829196,2.286911,-1.981735,-9.000778,-0.094727,0.013184,0.982422,4.6769942171252294,1.342326512528629,-111.86253526062552,0.5600780248641968,0.04035404324531555,0.013160636648535728,-0.8273517489433289
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147730679196,2.471924,-2.410889,-8.943558,-0.099609,0.019531,0.991211,4.671427482810826,1.3490552055462997,-111.88972217180952,0.5598839521408081,0.040349796414375305,0.013075243681669235,-0.827484667301178
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147733529196,2.103806,-2.164841,-9.431839,-0.104492,0.024902,1.00293,4.66784663189383,1.355100259371562,-111.91680950481862,0.5596901774406433,0.040356505662202835,0.013004527427256107,-0.8276165127754211
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147736379196,2.286911,-2.531052,-9.550095,-0.103516,0.030273,1.00293,4.662487953372724,1.363042954417542,-111.94396411428629,0.5594965219497681,0.040359605103731155,0.012911389581859112,-0.8277487754821777
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147739229196,1.981735,-2.103806,-10.286331,-0.105957,0.021484,0.993652,4.659784076063634,1.3675146502626254,-111.97401264701041,0.5592808127403259,0.04036524519324303,0.012855280190706253,-0.8278951048851013
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147742079196,1.983643,-2.410889,-10.038376,-0.09375,0.006836,0.97998,4.6533374604611195,1.3689587072550826,-111.98674874380555,0.5591898560523987,0.04032713174819946,0.012808894738554955,-0.8279591202735901
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147744929196,1.79863,-2.531052,-10.709763,-0.090332,0.023438,0.993652,4.64547253001442,1.3728997484090195,-111.99905121958089,0.5591027736663818,0.04029087349772453,0.012737694196403027,-0.8280207514762878
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147747779196,1.495361,-2.410889,-10.896683,-0.087402,0.022461,0.994629,4.637538287150964,1.3752261757754434,-112.01133097848026,0.5590154528617859,0.04024624079465866,0.01267785020172596,-0.8280828595161438
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147750629196,1.12915,-2.410889,-11.137009,-0.096191,0.022949,0.991699,4.6316067209383345,1.3759913395737375,-112.0244288113612,0.5589216351509094,0.04020854830741882,0.012638784945011139,-0.828148603439331
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147753479196,0.822067,-2.592087,-11.568069,-0.106445,0.023438,0.990234,4.627189167654467,1.3753906341277888,-112.05201400672189,0.5587226152420044,0.04017673060297966,0.01261190976947546,-0.8282848000526428
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147756329196,0.638962,-3.324509,-11.808395,-0.106445,0.018555,0.988769,4.619643125182239,1.3728658210177562,-112.08307422244707,0.5584983229637146,0.040113307535648346,0.012582506984472275,-0.8284395933151245
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147759179196,0.638962,-2.531052,-12.174606,-0.089844,0.025391,0.991211,4.611983645075144,1.3717042453134076,-112.11608744211107,0.5582602024078369,0.04005589336156845,0.012542039155960083,-0.8286034464836121
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147762603196,0.333786,-3.324509,-13.090134,-0.091797,0.033203,0.97998,4.601607331153543,1.3706592213064948,-112.15816177868639,0.5579568147659302,0.039980366826057434,0.012484371662139893,-0.828812301158905
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147766027196,0.394821,-3.446579,-13.151169,-0.097168,0.019043,0.982422,4.591857803618741,1.3667888625450964,-112.20151614604437,0.5576433539390564,0.03989575058221817,0.012449820525944233,-0.8290278911590576
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147769451196,0.276566,-3.263474,-14.009476,-0.094727,0.013672,0.990234,4.582366007149191,1.3609102588789506,-112.24865592986131,0.557301938533783,0.039803627878427505,0.012429812923073769,-0.8292621374130249
d8025493-41a0-4331-b7f4-900253c028e8,236cefd1-6135-4146-be60-3ebdf399abd9,1695845147772875196,0.274658,-3.387451,-14.375687,-0.102051,0.021973,0.987305,4.574042140551176,1.3567482822586416,-112.29388445465969,0.5569745302200317,0.0397280752658844,0.012403788976371288,-0.829486072063446
