section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294222565289,-14.724731,-7.892609,6.277084,-0.12793,0.013672,0.996094,6.000844030723993,0.9629735239506961,25.198569443209813,0.9744512438774109,-0.003227466717362404,0.052911583334207535,0.21825358271598816
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294226563289,-14.663696,-7.892609,6.643295,-0.114746,0.001465,0.990723,5.968152599352441,0.8990939453825024,25.234148886689084,0.974409282207489,-0.0037248358130455017,0.05251123756170273,0.21852974593639374
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294230561289,-14.846802,-7.892609,6.887436,-0.121582,0.005371,0.984375,5.9372233331277044,0.8356140525115482,25.27081861078732,0.9743638038635254,-0.004222429357469082,0.05212625861167908,0.21881547570228577
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294234559289,-14.541626,-8.197784,7.009506,-0.115234,-0.000488,0.97168,5.9040300848371565,0.7725001064705939,25.30786656836033,0.9743180274963379,-0.0047125183045864105,0.05172237008810043,0.2191048562526703
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294238557289,-14.787674,-7.829666,7.070541,-0.119629,0.007324,0.993164,5.873035652185336,0.7101582241697907,25.345251602639003,0.9742699861526489,-0.005200156942009926,0.05133830010890961,0.21939755976200104
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294242555289,-15.274048,-8.25882,7.741928,-0.103516,-0.003418,0.979492,5.837176748312264,0.6440014731302889,25.38577858331818,0.9742181301116943,-0.005712064914405346,0.05090508610010147,0.21971580386161804
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294246553289,-15.396118,-8.197784,7.619858,-0.097656,0.007812,0.967773,5.800733042045796,0.5798989276909366,25.42579796845239,0.9741666316986084,-0.0062048714607954025,0.05047048255801201,0.22003088891506195
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294250551289,-15.884399,-8.43811,8.230209,-0.11084,-0.005859,0.97168,5.7661465893532355,0.5111962498201527,25.468624800332254,0.9741089344024658,-0.006741293705999851,0.05004230514168739,0.22036802768707275
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294254549289,-15.947342,-7.951736,8.291245,-0.105957,-0.009766,0.967773,5.732876930346448,0.44161317784798726,25.51171571834585,0.9740496277809143,-0.007287545129656792,0.04962318763136864,0.22070719301700592
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294258547289,-16.372681,-8.38089,8.413315,-0.09668,-0.008789,0.975098,5.6957893961682755,0.370717587890327,25.555496420886715,0.9739902019500732,-0.007837587036192417,0.04916862025856972,0.22105219960212708
