section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,1,1698944707581754478,1698944710950679478,3368,906.21,525.008,5.270230398831261,5.764354069788266
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,2,1698944710994580478,1698944711176153478,181,1007.638,526.137,11.89114230947616,5.653624169472087
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,3,1698944711219199478,1698944711494715478,275,1157.939,511.581,21.692625452759703,6.4743284541621975
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,4,1698944711528893478,1698944711869797478,340,992.73,522.093,10.922267883112536,5.9225772830612495
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,5,1698944711919329478,1698944712091179478,171,914.966,699.264,5.840708174061039,-5.578362275145913
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,6,1698944712141165478,1698944712341468478,200,765.303,689.511,-3.9393924880151094,-4.948779988676572
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,7,1698944712369341478,1698944712566222478,196,699.792,662.035,-8.202646470998156,-3.1490965341219677
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,8,1698944712691169478,1698944712911093478,219,1003.411,680.817,11.60013238646395,-4.3521916120664095
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,9,1698944712950498478,1698944713525583478,575,1087.902,695.927,17.109341327759168,-5.280015403171346
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,10,1698944713559976478,1698944713772434478,212,1143.027,685.239,20.676830764037994,-4.559447065217959
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,11,1698944713800528478,1698944714238105478,437,1072.442,701.931,16.110717530417748,-5.6756497138567195
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,12,1698944714263022478,1698944714597520478,334,1019.65,681.895,12.657961687806825,-4.415150410594279
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,13,1698944714628635478,1698944714881932478,253,1102.946,696.917,18.088213977962706,-5.332804130276873
ab952e7c-b924-47d0-af90-b8ee83698292,51f60336-e1ad-432b-9902-aed3d9a7d71c,14,1698944714938042478,1698944715119289478,181,869.311,685.427,2.8544316085061543,-4.685593416144454
