section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056819673885,767.58,515.494,1.0,1,,-3.796658689513311,6.387355727161867
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056824670885,766.704,517.178,1.0,1,,-3.853482428669516,6.277578556974952
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056829670885,767.903,517.532,1.0,1,,-3.7749619730219846,6.254797250318195
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056834670885,767.258,518.16,1.0,1,,-3.816959058984712,6.213765851232711
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056839670885,768.436,516.581,1.0,1,,-3.7403630584188576,6.316787633618355
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056844678885,769.169,517.263,1.0,1,,-3.6922633180749496,6.27253797373446
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056849670885,769.078,517.355,1.0,1,,-3.6981570941423465,6.266504873622137
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056854670885,767.955,516.549,1.0,1,,-3.771808191264965,6.318792986150504
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056859670885,766.855,517.306,1.0,1,,-3.843528078086812,6.26928039563157
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056864670885,766.999,514.708,1.0,1,,-3.8348628782797736,6.4384040947988685
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056869670885,767.092,515.667,1.0,1,,-3.828498370452657,6.376022974469952
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056874680885,767.396,515.692,1.0,1,,-3.8086409745791876,6.374477651475449
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859056879670885,768.18,514.337,1.0,1,,-3.7577417061578253,6.462844199445756
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057084923885,768.102,514.702,1.0,1,,-3.7627590058352633,6.439064195067345
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057089923885,768.161,516.079,1.0,1,,-3.7585165775417777,6.349408541207637
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057094923885,768.442,514.887,1.0,1,,-3.7404552986306263,6.427079807187473
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057099923885,767.411,513.232,1.0,1,,-3.8083319970591822,6.534617423114291
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057104929885,767.61,517.889,1.0,1,,-3.7940112621581363,6.231460002419109
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057109924885,767.689,516.005,1.0,1,,-3.7893521926371907,6.354152240255632
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057114938885,767.492,515.458,1.0,1,,-3.8024048557966643,6.3896869764687105
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057119924885,766.798,517.5,1.0,1,,-3.847192567452219,6.256657441439876
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057124923885,766.615,517.55,1.0,1,,-3.8591432667338568,6.253327916302657
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057129924885,788.12,522.092,1.0,1,,-2.4519885688083494,5.960953580096369
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057134924885,788.662,522.045,1.0,1,,-2.41650412418918,5.96410871353352
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057139924885,788.856,521.951,1.0,1,,-2.403884015604722,5.970250805116293
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057144924885,789.649,520.488,1.0,1,,-2.352242936605739,6.0656504430452545
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057149933885,789.781,517.325,1.0,1,,-2.3441022332550667,6.2717272164499525
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057154924885,790.191,519.62,1.0,1,,-2.316931280988404,6.122281152952836
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1707859057159924885,789.661,520.368,1.0,1,,-2.351492241753188,6.073460859062841
