section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,1,1707864470306147398,1707864470866655398,560,752.671,579.501,-4.756014544541837,2.2171142422835133
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,2,1707864471302168398,1707864471377166398,74,572.899,1101.109,-18.236238692084687,-31.153248997358123
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,3,1707864471637426398,1707864471727541398,90,749.836,548.5,-4.946603518513108,4.235346604298161
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,4,1707864471792550398,1707864472012795398,220,732.612,567.613,-6.065002193775039,2.9887772190095383
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,5,1707864472237923398,1707864472438176398,200,496.591,1206.398,-25.1942812431493,-37.53163043112154
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,6,1707864472848556398,1707864473519190398,670,767.316,1198.692,-4.437620210181328,-37.98100145879494
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,7,1707864473539190398,1707864474274825398,735,781.91,1179.038,-3.281926389313055,-36.7037058594525
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,8,1707864474339954398,1707864474760332398,420,647.667,1136.575,-13.083198109856639,-33.682342988829745
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,9,1707864474780332398,1707864475145722398,365,597.896,1142.004,-16.78709280276498,-33.87152913671638
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,10,1707864475250838398,1707864475596105398,345,664.173,1137.662,-11.877241120464468,-33.79799100458024
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,11,1707864475621094398,1707864476086605398,465,748.45,1122.785,-5.629248159678345,-32.99528778917964
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,12,1707864476176601398,1707864476556981398,380,651.785,1177.283,-13.08309366986936,-36.33687750363054
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,13,1707864476862235398,1707864476972362398,110,785.926,619.509,-2.587171668084265,-0.3891168065928318
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,14,1707864477002363398,1707864477512870398,510,766.107,578.534,-3.8804651005761177,2.2811912983958873
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,15,1707864477557870398,1707864477682997398,125,728.939,477.834,-6.344411173080251,8.824058176092747
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,16,1707864477723122398,1707864480215407398,2492,761.791,582.271,-4.1613982079878085,2.0373646645743277
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,17,1707864480300533398,1707864482782817398,2482,1076.746,357.098,16.78925829759789,16.439536330956656
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,18,1707864482937944398,1707864483163081398,225,479.306,356.935,-23.089666209418386,16.221243783261844
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,19,1707864483218198398,1707864485240111398,2021,481.224,349.599,-22.99948186048958,16.688862437424532
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,20,1707864485350103398,1707864487942514398,2592,499.588,800.208,-21.459315879239803,-11.836907527156262
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,21,1707864488067641398,1707864489939416398,1871,1111.059,771.31,18.749249636902576,-10.074614162006334
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,22,1707864490024543398,1707864490484933398,460,1129.503,776.161,19.96877396638995,-10.35695855415636
089c1ad1-a197-40c6-a385-f5954db7625c,d08cbe84-dca9-41ac-be2a-3373878e0952,23,1707864490514924398,1707864492742081398,2227,1079.836,768.184,16.698472360521656,-9.91565511917971
