section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,1,1710176722285338291,1710176722465466291,180,739.409,522.648,-5.635499911039719,5.915272480384448
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,2,1710176722535467291,1710176722845846291,310,926.249,290.201,6.852957869643883,20.973876275300203
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,3,1710176722870847291,1710176723176101291,305,886.802,317.695,4.137821642806355,19.226939419145896
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,4,1710176723366354291,1710176723476355291,110,878.917,239.386,3.691907176580842,24.297479865881314
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,5,1710176723511481291,1710176723771612291,260,833.127,171.566,0.5429582745512394,28.706681682452384
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,6,1710176723811749291,1710176724952755291,1141,889.701,305.021,4.3482983134231015,20.045339740227746
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,7,1710176725092879291,1710176725193005291,100,1027.028,785.3,13.268487503285705,-11.076169374557566
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,8,1710176725218006291,1710176725473259291,255,1040.071,881.64,14.375108287082785,-17.243179940301957
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,9,1710176725498260291,1710176725653387291,155,1019.525,864.25,12.951739132234731,-16.16159732607183
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,10,1710176725713527291,1710176725798514291,84,866.67,899.014,2.7692143595954866,-18.554522314348937
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,11,1710176725838640291,1710176725928641291,90,1028.253,892.886,13.620316867706137,-17.984939678710308
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,12,1710176726133894291,1710176726449148291,315,495.916,729.491,-21.5150996578022,-7.352606136175372
ee26b98f-2e14-4af5-a0d3-204a79e82a86,e3f12d07-356c-47fd-86ef-9104d211ba62,13,1710176726654401291,1710176726829529291,175,937.376,457.983,7.355049724647226,10.107258251096566
