section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,1,1710182033882863389,1710182034143114389,260,760.787,522.991,-4.238549806550364,5.897995152770667
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,2,1710182034188240389,1710182036790650389,2602,955.419,324.666,8.755501546907166,18.716586619841195
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,3,1710182037005778389,1710182039252934389,2247,950.979,313.294,8.480927088552274,19.455691087061293
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,4,1710182039468062389,1710182039873443389,405,947.081,285.974,8.279705361301405,21.223408670396786
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,5,1710182040098696389,1710182040769330389,670,957.095,307.357,8.90813397489356,19.831344422288108
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,6,1710182041079584389,1710182041595092389,515,964.12,300.739,9.400233330023125,20.24904816181071
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,7,1710182041775219389,1710182043481868389,1706,950.339,314.38,8.435315503894408,19.38638060710205
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,8,1710182043531869389,1710182044933138389,1401,1066.61,176.963,17.054737461185454,27.98096857404557
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,9,1710182044968264389,1710182045909039389,940,849.1,193.227,1.6602790515281103,27.299343414941045
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,10,1710182045974153389,1710182046819916389,845,825.567,475.503,-0.0024570784102861064,8.997830645904928
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,11,1710182046870041389,1710182046945042389,75,831.151,480.658,0.3641097616544433,8.6622442937141
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,12,1710182047000043389,1710182047720803389,720,1048.377,470.07,14.621310436373447,9.238674809681651
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,13,1710182047765804389,1710182047860930389,95,967.042,376.404,9.428646032119875,15.363602708541306
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,14,1710182048536564389,1710182049117073389,580,925.706,328.519,6.746943075022261,18.498399873443212
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,15,1710182049257200389,1710182049472457389,215,934.259,266.787,7.449641758018544,22.477188121187556
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,16,1710182049507453389,1710182050218095389,710,946.136,332.882,8.113735333411467,18.196495349783635
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,17,1710182050453342389,1710182050698474389,245,912.49,339.241,5.84174993263424,17.815930438980754
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,18,1710182050758596389,1710182051013850389,255,684.393,392.506,-9.376678563624958,14.318565321599586
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,19,1710182051098851389,1710182051304104389,205,1105.823,343.524,18.78438190864335,17.244633780486296
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,20,1710182051554357389,1710182051804615389,250,779.822,323.076,-3.085586826813446,18.883871015472327
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,21,1710182051834611389,1710182051999738389,165,812.072,352.2,-0.9047087512618476,17.0065626925488
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,22,1710182052039739389,1710182052214992389,175,989.611,332.463,11.036734032081835,18.169230852834808
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,23,1710182052425120389,1710182053235881389,810,895.248,366.448,4.654949734126947,16.065601973879957
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,24,1710182053341008389,1710182053836394389,495,909.262,363.782,5.594099320921728,16.22986953777167
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,25,1710182054076643389,1710182054692277389,615,905.961,365.458,5.371600270912358,16.12341651406328
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,26,1710182054852404389,1710182055097658389,245,903.189,370.103,5.181446723764696,15.824290893743855
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,27,1710182055162669389,1710182055648165389,485,909.912,384.016,5.614513611223098,14.918916938243456
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,28,1710182055868294389,1710182056473927389,605,918.958,367.746,6.236774210477136,15.966519623662208
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,29,1710182056528932389,1710182056739181389,210,745.922,385.68,-5.300426153710222,14.810862797016577
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,30,1710182056779181389,1710182056944309389,165,877.794,384.452,3.4762947229028307,14.906503269480055
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,31,1710182057004435389,1710182057840197389,835,905.54,360.791,5.348779006072294,16.4259446430404
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,32,1710182058020324389,1710182058390704389,370,913.25,367.171,5.856434003116639,16.00774956094793
ff852786-7a59-434c-8192-f1675313fcfa,125a3832-9ac1-4df4-a537-42d286d8cb4e,33,1710182058605832389,1710182059061339389,455,900.106,367.214,4.978632708298745,16.013220865862177
