section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,1,1710351069928433039,1710351070143553039,215
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,2,1710351071900206039,1710351072095334039,195
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,3,1710351098259638039,1710351098509878039,250
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,4,1710351115655898039,1710351115926153039,270
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,5,1710351123177778039,1710351123453038039,275
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,6,1710351140579040039,1710351140729167039,150
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,7,1710351174853982039,1710351175034107039,180
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,8,1710351175219357039,1710351175464482039,245
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,9,1710351181925479039,1710351182150604039,225
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,10,1710351186384483039,1710351186539602039,155
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,11,1710351207258592039,1710351207543842039,285
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,12,1710351233737703039,1710351233972953039,235
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,13,1710351235063952039,1710351235319202039,255
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,14,1710351242936073039,1710351243106323039,170
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,15,1710351270576318039,1710351270741557039,165
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,16,1710351271752435039,1710351271972691039,220
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,17,1710351286560923039,1710351286776179039,215
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,18,1710351312024158039,1710351312254412039,230
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,19,1710351312874908039,1710351313120158039,245
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,20,1710351373950924039,1710351374261174039,310
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,21,1710351374711549039,1710351374996799039,285
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,22,1710351406645799039,1710351406825923039,180
88c00e08-b7e6-4f86-8f91-a9943d0456eb,51da7c57-d69e-4684-b50b-32b6f65b3a68,23,1710351442218298039,1710351442353423039,135
