section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,1,1710359550292440340,1710359552689729340,2397,963.485,324.348,9.29951518732407,18.72734485132641
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,2,1710359552729724340,1710359552989978340,260,1003.513,234.133,12.321494452242664,24.471016258543514
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,3,1710359553035104340,1710359553625625340,590,845.59,184.674,1.4187350806020227,27.854647669226722
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,4,1710359553650612340,1710359554711627340,1061,928.583,307.772,6.9777050401005685,19.836459287637183
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,5,1710359554761636340,1710359557714421340,2952,938.6,311.746,7.647569598746531,19.569519122163374
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,6,1710359557759422340,1710359558034676340,275,849.115,201.942,1.6552664879671821,26.73462699016465
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,7,1710359558199803340,1710359559030565340,830,946.14,336.393,8.107162254086743,17.96976137653335
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,8,1710359559075691340,1710359559456071340,380,1074.238,210.268,17.358996520931907,25.82586677327036
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,9,1710359559496072340,1710359559626199340,130,960.075,307.453,9.109512745099446,19.821393537027753
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,10,1710359559716204340,1710359561047470340,1331,957.197,325.515,8.873408395395106,18.659665146101766
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,11,1710359561092470340,1710359561172597340,80,1071.462,212.488,17.151114211593757,25.691997211665086
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,12,1710359561207597340,1710359562588868340,1381,1071.785,209.019,17.196280521708875,25.912952059172984
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,13,1710359562683994340,1710359563760010340,1076,838.621,199.426,0.9208069016568334,26.89971315055857
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,14,1710359563815011340,1710359565046154340,1231,828.93,442.168,0.21980886978084682,11.166602708519791
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,15,1710359565101280340,1710359565241407340,140,1060.622,454.858,15.451390117016608,10.202856215748357
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,16,1710359565301408340,1710359567668693340,2367,1059.189,451.572,15.36408745367997,10.415461059989273
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,17,1710359567718694340,1710359567933947340,215,939.577,355.715,7.632528071177486,16.7277286752584
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,18,1710359567978947340,1710359568519455340,540,779.344,342.905,-3.103701510817146,17.599602155454996
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,19,1710359568579456340,1710359568904836340,325,997.146,345.898,11.506603212959902,17.293323928222332
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,20,1710359568954837340,1710359569124965340,170,1137.389,360.796,20.81331790049107,16.07500252199952
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,21,1710359569165090340,1710359569705473340,540,1251.449,359.561,28.420712651094853,15.85431123939584
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,22,1710359569750599340,1710359570130979340,380,1381.983,402.288,36.88003155427349,12.845615522003975
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,23,1710359570175993340,1710359570336108340,160,1106.355,345.387,18.811910815167483,17.124833723981514
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,24,1710359570386108340,1710359570581361340,195,919.884,336.549,6.342527962668274,17.984246511049246
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,25,1710359570621362340,1710359571026743340,405,756.201,332.476,-4.6679758176694754,18.262306853309557
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,26,1710359571116869340,1710359571321997340,205,1154.761,353.413,22.005237106595605,16.501344446692645
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,27,1710359571367123340,1710359571847508340,480,1308.918,376.047,32.15578226148175,14.663936312283864
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,28,1710359571882520340,1710359572227886340,345,1399.989,413.232,38.01896685650411,12.131827446007561
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,29,1710359572373013340,1710359572783407340,410,870.824,327.139,3.0509827852959894,18.6232365089785
73f4c903-ad35-48f3-8bcd-27be08ab12a3,ec189aac-337d-44fb-bed2-019bd0e9adca,30,1710359572873520340,1710359578743868340,5870,937.474,354.89,7.493176904291649,16.783007234350908
