section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,1,1710360568193350864,1710360568468601864,275,972.055,295.437,9.95255374325129,20.57974643759895
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,2,1710360568543602864,1710360570755635864,2212,969.507,305.925,9.751563323552396,19.907406164943268
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,3,1710360570800761864,1710360571671532864,870,1098.911,185.122,19.269935780859527,27.355040049377333
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,4,1710360571716650864,1710360572547418864,830,970.931,301.406,9.859944072423156,20.196661869935554
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,5,1710360572592413864,1710360573197923864,605,1095.749,176.82,19.11402485726389,27.896026914566672
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,6,1710360573253049864,1710360574684321864,1431,865.574,162.053,2.857298999749303,29.314680217560184
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,7,1710360574744447864,1710360575775338864,1030,849.408,415.589,1.5771825145341503,12.892570623132348
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,8,1710360575850467864,1710360577807244864,1956,1076.531,438.547,16.530769434024002,11.228873887675126
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,9,1710360577842245864,1710360577987372864,145,1080.776,436.527,16.814469214542836,11.352419322344819
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,10,1710360578027498864,1710360578267627864,240,941.379,303.741,7.85224208225261,20.083330013884137
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,11,1710360578307752864,1710360578507880864,200,826.983,304.931,0.09695071741869452,20.07001264205783
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,12,1710360578648007864,1710360578973388864,325,1198.12,342.815,24.957888893241424,17.05518496676482
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,13,1710360579028390864,1710360579163516864,135,1001.725,329.05,11.860297341338583,18.370827482633846
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,14,1710360579193516864,1710360580399660864,1206,948.226,302.871,8.318019656891353,20.131636349249295
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,15,1710360580444661864,1710360580519787864,75,798.524,316.078,-1.8271240411979437,19.343887431117018
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,16,1710360580544787864,1710360580790041864,245,808.525,300.582,-1.1554212721620003,20.34965344794956
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,17,1710360580825042864,1710360581560678864,735,919.684,307.705,6.375377412313712,19.849160962839637
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,18,1710360581640804864,1710360581901059864,260,1202.455,631.305,24.485889741330983,-1.1166345237073398
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,19,1710360581976060864,1710360582161313864,185,1128.481,340.941,20.31095772518438,17.356066490007798
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,20,1710360582216325864,1710360582376441864,160,868.782,417.802,2.8591112149254445,12.744925750126626
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,21,1710360582446578864,1710360583162206864,715,936.464,353.715,7.427484415946424,16.859859837387642
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,22,1710360583222329864,1710360583362457864,140,933.284,354.232,7.213819465297958,16.82931751763028
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,23,1710360583457458864,1710360583692712864,235,938.162,342.449,7.560418627434116,17.586538470023452
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,24,1710360583822839864,1710360584078093864,255,938.517,346.382,7.577376497704716,17.331977765203106
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,25,1710360584203220864,1710360587316019864,3112,936.107,363.98,7.387227502600665,16.196486907348646
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,26,1710360587341157864,1710360588772417864,1431,940.867,382.81,7.6758682343119755,14.974413943254282
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,27,1710360588797417864,1710360592085469864,3288,941.213,380.412,7.702512657622962,15.12920876522844
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,28,1710360592105469864,1710360596884920864,4779,943.472,394.548,7.8319088124985035,14.212763239665078
57731848-8494-4ad3-a33d-328f1a93fda9,5ea5603d-ce65-473f-9658-57ca3bd33ce7,29,1710360596904931864,1710360599852717864,2947,942.114,395.878,7.739940055714571,14.127828171980745
