section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,1,1710363024616731551,1710363024891985551,275,946.839,435.932,8.001134837575913,11.530745074597876
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,2,1710363025137238551,1710363025287365551,150,874.302,407.573,3.230039352112432,13.407488554079707
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,3,1710363025452492551,1710363025717749551,265,914.162,417.546,5.862467605493671,12.74297436498632
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,4,1710363025908008551,1710363026188253551,280,897.751,447.937,4.754978429195841,10.77808910756177
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,5,1710363026383380551,1710363026528507551,145,889.98,492.753,4.22076310401847,7.867008658161462
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,6,1710363026558633551,1710363026838887551,280,835.105,555.891,0.6196169470937748,3.7600125807592515
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,7,1710363026898888551,1710363027264268551,365,988.232,398.283,10.794336315964888,13.928268219943925
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,8,1710363027394394551,1710363027859776551,465,931.951,467.052,6.990575602788488,9.521705660412312
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,9,1710363027984903551,1710363028720538551,735,934.635,498.675,7.143013130808715,7.467418330108943
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,10,1710363028850665551,1710363029571425551,720,914.585,478.761,5.841875184349341,8.769015647436142
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,11,1710363029591425551,1710363029911680551,320,960.419,475.004,8.851764217047947,8.990320735049169
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,12,1710363029936687551,1710363030302060551,365,898.855,463.014,4.818307241751572,9.798147847439587
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,13,1710363030327061551,1710363030677441551,350,945.613,456.717,7.897856357546979,10.184571446444892
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,14,1710363030832568551,1710363031347964551,515,925.453,431.155,6.595397872386534,11.854019837195464
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,15,1710363031458077551,1710363032003591551,545,927.495,465.635,6.698975762688294,9.615865665165911
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,16,1710363032028710551,1710363032363965551,335,982.1,488.557,10.258487824304098,8.099196125116691
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,17,1710363032398966551,1710363032539093551,140,911.297,478.042,5.626501129327663,8.816994194394123
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,18,1710363032704220551,1710363033344854551,640,922.194,480.005,6.340268150726898,8.685134324845484
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,19,1710363033504982551,1710363033955488551,450,934.305,467.315,7.144943425855412,9.503483673654001
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,20,1710363033990489551,1710363034390869551,400,885.945,402.485,4.005479680543353,13.73353658067646
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,21,1710363034410870551,1710363034485996551,75,956.077,390.535,8.674935968031782,14.461341905497456
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,22,1710363034600998551,1710363035056504551,455,979.166,367.215,10.2547613445368,15.943051547856056
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,23,1710363035091505551,1710363035206631551,115,879.369,381.498,3.583161923273536,15.097441094366712
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,24,1710363035346758551,1710363035672013551,325,919.851,414.794,6.241650781405116,12.91814676727296
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,25,1710363035692014551,1710363036017393551,325,973.778,516.801,9.6893946850968,6.274347664436821
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,26,1710363036057400551,1710363036322650551,265,891.286,509.419,4.299836593382156,6.782216351849976
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,27,1710363036362648551,1710363036678028551,315,822.072,576.985,-0.231095794510895,2.3843725612359483
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,28,1710363036823155551,1710363037218536551,395,983.426,478.793,10.355819654470114,8.730242219865888
bf19438e-bf13-417c-893a-e9aa8224d422,cd9b4fa0-3744-4312-9826-cf806117bc10,29,1710363037243536551,1710363037728918551,485,927.202,485.42,6.664990339315533,8.331380644448712
