section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,1,1710770550781544746,1710770551272051746,490,978.668,197.525,10.749143267203285,26.877712147310742
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,2,1710770551302051746,1710770552633318746,1331,1108.885,95.873,20.846818970801877,33.03166985161592
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,3,1710770552693319746,1710770553734332746,1041,868.536,76.736,3.209345501574577,34.87487153498512
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,4,1710770553934460746,1710770554700220746,765,838.708,316.157,0.8888514157514028,19.34252476412377
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,5,1710770554775221746,1710770554890347746,115,1031.389,328.827,13.85430141279946,18.335478195331767
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,6,1710770554910348746,1710770557152505746,2242,1087.003,329.836,17.583561518599414,18.15915581237176
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,7,1710770557192502746,1710770557462756746,270,984.039,283.027,10.803950321620588,21.36074611251266
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,8,1710770557487756746,1710770558558770746,1071,978.218,244.307,10.535431447605662,23.863690469463346
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,9,1710770558588774746,1710770558713897746,125,965.773,241.478,9.686817689955518,24.066612765329154
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,10,1710770558774023746,1710770558874024746,100,743.805,203.291,-5.719420455901202,26.60390058342711
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,11,1710770558904032746,1710770559069277746,165,664.195,213.123,-11.243076917493095,25.84484505151124
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,12,1710770559144278746,1710770559269405746,125,1065.306,242.941,16.540864815602152,23.761417324709967
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,13,1710770559329531746,1710770559744911746,415,1303.79,285.021,32.55284671834973,20.29484260557037
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,14,1710770559809912746,1710770560770801746,960,982.151,303.451,10.614111245377451,20.048620239915195
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,15,1710770560810800746,1710770561246306746,435,980.011,305.703,10.462890854729276,19.906736351813397
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,16,1710770561281306746,1710770561456445746,175,964.188,226.719,9.62704333653407,25.020744223607355
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,17,1710770561516560746,1710770561846814746,330,824.584,238.834,-0.06466018105871134,24.348363479787363
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,18,1710770561886815746,1710770562232194746,345,1008.617,274.174,12.509864972566861,21.887120698162093
fc02bb8f-118b-466c-8474-df9722f4ebb8,44dc31f5-d2d4-48f8-b034-7bc949cc345e,19,1710770562262195746,1710770574568608746,12306,937.962,251.013,7.742385588025051,23.491032513925333
