section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,1,1710792067235642256,1710792067465770256,230,779.725,541.34,-2.9972486805904213,4.705995254350971
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,2,1710792067585897256,1710792067956289256,370,845.412,357.372,1.3281070981353806,16.67112157326595
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,3,1710792068006278256,1710792068371660256,365,1054.093,355.603,15.283745424588773,16.577642325455855
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,4,1710792068421660256,1710792069387549256,965,933.129,419.069,7.115340796597666,12.632654979375813
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,5,1710792069427686256,1710792069637803256,210,860.323,347.675,2.331465173151953,17.296485811002462
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,6,1710792069672804256,1710792071294329256,1621,858.599,425.774,2.182177121924044,12.229374815250624
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,7,1710792071344454256,1710792073426362256,2081,1034.672,344.699,14.02193963020676,17.311125278170103
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,8,1710792073486363256,1710792075117888256,1631,789.615,299.916,-2.4389707978945823,20.387150151268703
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,9,1710792075178014256,1710792075703397256,525,790.103,542.757,-2.3193827735812342,4.6146868180594
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,10,1710792075758523256,1710792076258914256,500,1043.308,346.371,14.594161794198943,17.188706409429393
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,11,1710792076319032256,1710792076499160256,180,795.782,299.712,-2.020555486858492,20.402587255261984
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,12,1710792076574286256,1710792076909541256,335,798.447,294.395,-1.842175793178965,20.747580668419385
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,13,1710792076969667256,1710792077154795256,185,929.981,451.031,6.875005570396503,10.562303940325167
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,14,1710792077204796256,1710792077790430256,585,1087.921,323.035,17.67500050708701,18.590986635076295
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,15,1710792077830438256,1710792078090684256,260,1037.295,340.308,14.211915683135254,17.588264142158256
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,16,1710792078110685256,1710792078305813256,195,1078.23,338.13,16.96113636930184,17.648554129116732
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,17,1710792078360939256,1710792079236702256,875,811.607,296.767,-0.9471433115320794,20.597155923093684
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,18,1710792079326829256,1710792079692210256,365,760.346,540.993,-4.262605043284434,4.7258606977378115
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,19,1710792079772211256,1710792080062465256,290,754.273,349.941,-4.778956383127838,17.130627248829004
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,20,1710792080497848256,1710792080582974256,85,788.583,568.477,-2.4159011732778177,2.9381555265761214
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,21,1710792080718101256,1710792080783227256,65,687.577,601.502,-8.990291093854548,0.7816490198163275
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,22,1710792080813227256,1710792080953354256,140,641.338,672.683,-12.008720800543113,-3.822060700152633
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,23,1710792081784117256,1710792081869122256,85,671.775,428.704,-10.152688179162004,11.967927052783457
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,24,1710792082639882256,1710792082835140256,195,943.572,599.163,7.687825921021493,0.934838217490503
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,25,1710792082990261256,1710792083120388256,130,944.623,547.188,7.769338767498597,4.312642142427021
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,26,1710792083580771256,1710792084241406256,660,1007.646,553.174,11.872715020170567,3.9054412845530697
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,27,1710792084281407256,1710792084932042256,650,957.098,475.587,8.633411543046837,8.954464704344808
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,28,1710792085082169256,1710792085902932256,820,966.88,507.706,9.24571653429309,6.8670922823935445
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,29,1710792085947933256,1710792086063060256,115,1045.934,532.225,14.380235658243688,5.240382883309029
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,30,1710792086328314256,1710792086678697256,350,1059.526,560.278,15.241617309751396,3.428128919308599
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,31,1710792086878822256,1710792087419331256,540,1043.829,523.823,14.25147749083389,5.782751806752704
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,32,1710792087454331256,1710792087669585256,215,904.8,447.367,5.219776905180327,10.812283130135482
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,33,1710792088375221256,1710792088465348256,90,1067.522,629.881,15.744229762541451,-1.049275675851643
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,34,1710792088530349256,1710792088825603256,295,1032.959,619.77,13.499778393709464,-0.40115999360160903
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,35,1710792088845604256,1710792089416237256,570,1013.63,558.933,12.258869194533634,3.5311027357706943
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,36,1710792089466238256,1710792089676506256,210,879.974,486.064,3.5672157780779714,8.304603456173142
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,37,1710792089716492256,1710792090337002256,620,1014.772,525.955,12.35631471252604,5.66173564778952
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,38,1710792090392128256,1710792090562255256,170,960.1,462.302,8.844046611677982,9.81352471466821
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,39,1710792090617256256,1710792090802515256,185,740.326,455.432,-5.61213193073845,10.283766879617932
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,40,1710792090867510256,1710792091042763256,175,564.794,448.658,-17.13685588492468,10.561533443482586
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,41,1710792091147764256,1710792091328017256,180,1268.111,494.262,28.909821297927316,7.430598495762212
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,42,1710792091358018256,1710792091588146256,230,1379.199,485.4,36.248575262132604,7.801794355109521
5b28a404-cbff-428f-9e92-507d04279ef0,be519371-6caf-469a-9532-490ec715ef4b,43,1710792091653273256,1710792091788399256,135,1092.54,439.026,17.58076113405614,11.1761355707712
