section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,1,1710877006192007210,1710877006697513210,505,926.486,382.669,6.719181358314784,14.99490435443002
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,2,1710877006747517210,1710877006937642210,190,1046.593,286.105,15.04649220469138,21.04412469995141
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,3,1710877006997767210,1710877007373147210,375,1047.048,274.244,15.130585315614493,21.80274300273188
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,4,1710877007428148210,1710877007618276210,190,997.621,495.449,11.266479909553661,7.643425287601417
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,5,1710877007643401210,1710877007878529210,235,1035.036,492.915,13.714471176268129,7.780069812275313
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,6,1710877007928655210,1710877008439036210,510,815.655,497.523,-0.6522935957432405,7.563814601374183
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,7,1710877008464162210,1710877008804416210,340,777.95,514.016,-3.118769340162119,6.485516624698148
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,8,1710877008889542210,1710877009920431210,1030,845.675,437.389,1.3252419031980338,11.476394266115053
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,9,1710877009955557210,1710877010841327210,885,914.023,391.558,5.879750402953258,14.427713598560286
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,10,1710877010861319210,1710877012057460210,1196,921.043,385.613,6.353290857298546,14.808168253047631
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,11,1710877012082460210,1710877012407840210,325,943.985,400.888,7.857036251240988,13.802101124512909
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,12,1710877012442840210,1710877012667968210,225,920.402,487.532,6.217794326374234,8.196886509666028
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,13,1710877012963360210,1710877013799109210,835,895.872,449.241,4.6303516307309955,10.694116150777859
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,14,1710877013829112210,1710877015320515210,1491,903.265,426.642,5.13403161981975,12.158401505388518
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,15,1710877015355517210,1710877015675759210,320,844.329,497.572,1.22706039987192,7.5603686845141365
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,16,1710877015826011210,1710877015941013210,115,712.304,1025.429,-7.922004822057551,-26.645858092696916
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,17,1710877015986138210,1710877016286393210,300,611.945,1131.254,-15.661621507526316,-33.22749770442522
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,18,1710877016576662210,1710877016786790210,210,923.689,484.043,6.435621478497093,8.422263004531288
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,19,1710877016821900210,1710877017737788210,915,923.676,386.307,6.527600207055015,14.761387985093188
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,20,1710877017787788210,1710877018073042210,285,1039.567,494.414,14.008383499150488,7.679912030512665
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,21,1710877018123043210,1710877018928804210,805,913.696,480.954,5.782159607335895,8.626875585373005
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,22,1710877019184058210,1710877019379311210,195,740.613,1120.627,-6.195266614311165,-32.84468584388342
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,23,1710877019409311210,1710877019484312210,75,665.953,1120.263,-11.639220156240393,-32.67568196486672
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,24,1710877019519438210,1710877019599439210,80,696.27,1103.446,-9.350674014263259,-31.65545687244858
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,25,1710877019724565210,1710877020365214210,640,822.228,1024.558,-0.22885307333802363,-26.676851670416653
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,26,1710877020385200210,1710877023548119210,3162,763.714,1019.758,-4.316763529967225,-26.33976425554946
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,27,1710877023938500210,1710877024243754210,305,849.842,1031.514,1.7095075620959865,-27.123827057311075
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,28,1710877024263754210,1710877025775154210,1511,814.312,997.424,-0.7765776421135123,-24.921937726434813
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,29,1710877025800279210,1710877025905277210,104,769.038,1017.843,-3.9421942563770656,-26.220349641611975
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,30,1710877025925278210,1710877026030404210,105,703.806,995.187,-8.424396893228275,-24.68455337165082
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,31,1710877026430793210,1710877026791165210,360,940.074,396.245,7.60399294304167,14.105701372609015
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,32,1710877026881169210,1710877027101419210,220,812.443,400.598,-0.8725770845184783,13.866825579380977
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,33,1710877027136420210,1710877028007307210,870,903.398,402.409,5.163467518869168,13.73043061864387
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,34,1710877028097308210,1710877029427426210,1330,929.238,373.137,6.915336349812895,15.609768833005331
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,35,1710877029477426210,1710877029747679210,270,872.354,412.887,3.098038059653785,13.063110766589105
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,36,1710877029767801210,1710877030263177210,495,895.663,369.418,4.679791349535252,15.872910772458692
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,37,1710877030363302210,1710877033185932210,2822,925.886,375.38,6.688830280341604,15.46722683307124
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,38,1710877033240932210,1710877033421065210,180,1055.27,281.207,15.658321302766563,21.338257511257726
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,39,1710877033446069210,1710877034757310210,1311,1066.351,265.859,16.488962709430325,22.293434325068453
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,40,1710877034817435210,1710877035908437210,1091,798.005,261.968,-1.8890348461172055,22.845914138166457
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,41,1710877035988437210,1710877036108562210,120,1052.64,497.793,14.85709429446564,7.45185952746047
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,42,1710877036163562210,1710877037144564210,981,776.566,501.107,-3.212614703006331,7.325680771171276
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,43,1710877037289689210,1710877038080315210,790,1054.715,500.336,14.988980024328148,7.286628629976771
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,44,1710877038250566210,1710877039256442210,1005,1054.716,497.691,14.992716352699887,7.456716752369241
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,45,1710877039296442210,1710877039621818210,325,933.164,400.499,7.139989624028667,13.835540012797384
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,46,1710877039661818210,1710877039882068210,220,919.257,384.801,6.235467473127732,14.861999779821
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,47,1710877039942072210,1710877040127194210,185,670.158,403.9,-10.29965098094862,13.568037881310158
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,48,1710877040297444210,1710877040512569210,215,1041.01,411.847,14.255663159403591,12.989798834157572
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,49,1710877040757823210,1710877040877945210,120,1237.486,429.524,27.131137235313552,11.522498672224202
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,50,1710877040912949210,1710877041068074210,155,1321.446,444.785,32.599928277262144,10.398258292982186
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,51,1710877041288321210,1710877042134072210,845,868.088,399.857,2.8218745184595044,13.910196699767397
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,52,1710877042159072210,1710877042604573210,445,947.49,401.149,8.089100966782745,13.782305992213281
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,53,1710877042629573210,1710877043200074210,570,883.435,414.19,3.8312038209901953,12.974896602994978
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,54,1710877043295199210,1710877044180951210,885,873.316,420.547,3.1578197286853147,12.565408772104997
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,55,1710877044205951210,1710877044766452210,560,875.676,423.299,3.312451907492688,12.386026824462753
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,56,1710877044846577210,1710877048094583210,3248,879.702,426.29,3.5770639861877416,12.190481723509983
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,57,1710877048164597210,1710877048524959210,360,1150.698,314.217,21.942240600002812,18.992256047890837
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,58,1710877048604961210,1710877048805209210,200,739.599,466.046,-5.652700630840064,9.594211398271282
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,59,1710877048975334210,1710877049130459210,155,616.982,535.426,-13.605485319325416,5.037700222268567
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,60,1710877049285589210,1710877049605960210,320,230.394,935.388,-40.36493695834134,-19.311044757380895
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,61,1710877049736085210,1710877049881211210,145,799.853,515.951,-1.6854357469073011,6.362298567003222
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,62,1710877049916211210,1710877050751962210,835,881.821,431.939,3.7138874400022464,11.822927359253447
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,63,1710877050892087210,1710877053489467210,2597,867.159,442.707,2.7411810235601326,11.127231251929663
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,64,1710877053579592210,1710877053884842210,305,881.275,437.699,3.674655724073537,11.448887253453506
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,65,1710877053914842210,1710877054090093210,175,909.496,429.002,5.543733321398704,12.002265745856628
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,66,1710877054115093210,1710877055751595210,1636,861.314,434.137,2.358649496497468,11.68541602757877
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,67,1710877055871721210,1710877056046846210,175,629.739,1055.446,-13.852720617410924,-28.405588208568194
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,68,1710877056076846210,1710877056827597210,750,677.807,1090.399,-10.619100498762643,-30.773267328248114
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,69,1710877056857597210,1710877057062723210,205,646.523,1112.636,-13.004184237969964,-32.13171967874017
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,70,1710877057087848210,1710877058313850210,1226,597.674,1114.695,-16.56294138057604,-32.113015693035145
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,71,1710877058453978210,1710877058549100210,95,700.617,659.776,-8.14827673432222,-3.0025838866838774
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,72,1710877058589100210,1710877058729233210,140,785.851,668.342,-2.594910560383613,-3.5723543524608403
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,73,1710877058759350210,1710877058994476210,235,837.732,571.484,0.7905208255815245,2.7431015418804314
bc4f1068-04f0-4bab-972f-b749a783ef33,80daba4f-e40a-4bc4-b314-281bd1ca7e7f,74,1710877059174726210,1710877059655113210,480,850.631,462.169,1.6466977750985472,9.864336699372798
