section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,1,1711467051369207454,1711467051539334454,170,573.517,673.147,-16.4099161635645,-3.8228121682509646
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,2,1711467051629461454,1711467051759588454,130,874.6,537.913,3.2008968685385293,4.92944522162673
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,3,1711467051784588454,1711467051864602454,80,874.093,529.503,3.169491161610425,5.477390609634613
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,4,1711467051884719454,1711467052044842454,160,861.259,552.298,2.3273398086868866,3.9931827252868635
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,5,1711467052209970454,1711467052785479454,576,833.612,528.509,0.5230703828444815,5.545110764384756
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,6,1711467053270987454,1711467053345988454,75,897.96,375.482,4.82711586508727,15.478746861347394
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,7,1711467053801495454,1711467054026624454,225,886.031,488.838,3.963441457373026,8.12272501544858
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,8,1711467054757386454,1711467054832389454,75,878.15,369.234,3.5107092882978703,15.893100730877622
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,9,1711467054927513454,1711467055027640454,100,890.811,341.305,4.38301219807297,17.696421565403924
98cec516-4dd6-483c-bbbd-f8f2c005d2af,d369c48a-0cd8-473e-a9b6-75525bad1408,10,1711467055052640454,1711467055162767454,110,917.484,304.489,6.231843558221179,20.05893595189261
