section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,1,1693596704091536709,1693596704263458709,171,783.033,719.58,-2.787297282984971,-6.909149695175016
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,2,1693596704297757709,1693596704579036709,281,889.28,776.092,4.194270630837928,-10.579522590058472
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,3,1693596704613403709,1693596704797765709,184,772.961,772.733,-3.4649854406696474,-10.363339268564944
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,4,1693596704829083709,1693596705103999709,274,680.091,764.699,-9.559907606851416,-9.793732029192352
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,5,1693596705135341709,1693596705388520709,253,811.976,758.108,-0.8956110023092929,-9.419771435574683
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,6,1693596705435314709,1693596705753970709,318,954.396,769.66,8.472856485312038,-10.129869557979818
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,7,1693596705785324709,1693596706529120709,743,859.056,768.71,2.201606125895748,-10.107374199170575
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,8,1693596706566573709,1693596706976326709,409,942.109,782.624,7.678274720039197,-10.977518960918747
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,9,1693596707007363709,1693596707151114709,143,893.121,696.776,4.412553079382675,-5.421279629087356
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,10,1693596707176000709,1693596708025993709,849,835.917,655.316,0.6721093488842436,-2.7246207470404977
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,11,1693596708082198709,1693596709707500709,1625,828.957,658.169,0.2180517087970835,-2.910694598982419
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,12,1693596709863364709,1693596712044649709,2181,829.892,674.539,0.27932559604889656,-3.977998782297516
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,13,1693596712200952709,1693596715013517709,2812,831.191,679.161,0.3642328688492531,-4.279268801241475
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,14,1693596715179090709,1693596717325952709,2146,834.847,676.026,0.6028800527308379,-4.074896652361825
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,15,1693596717494648709,1693596719432141709,1937,835.878,677.212,0.6701920685058579,-4.152217637086205
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,16,1693596719597803709,1693596721422972709,1825,836.656,673.818,0.7208687466404435,-3.93092093072827
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,17,1693596721604020709,1693596723535382709,1931,837.075,672.471,0.7481703345032942,-3.8431218330624874
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,18,1693596723710264709,1693596725716500709,2006,836.671,675.163,0.7219224139402586,-4.018619339938131
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,19,1693596725854055709,1693596727725950709,1871,837.446,675.306,0.7725458098344387,-4.027914519654608
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,20,1693596727910359709,1693596729825980709,1915,839.275,673.065,0.8918521448759736,-3.8817848264709442
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,21,1693596729941531709,1693596731963551709,2022,836.899,673.421,0.7367362302694357,-3.9050654961003
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,22,1693596732104246709,1693596734332204709,2227,834.58,671.954,0.5852851506909877,-3.809433625699774
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,23,1693596734469714709,1693596736297971709,1828,832.72,668.217,0.4638130055784997,-3.565813974843359
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,24,1693596736432116709,1693596738500945709,2068,834.516,671.26,0.5811339563047079,-3.7641773986784686
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,25,1693596738685335709,1693596740717170709,2031,836.551,674.123,0.7140594667340595,-3.950801925973912
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,26,1693596740851637709,1693596742704056709,1852,837.367,675.035,0.7673527399738482,-4.010259542836512
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,27,1693596742857185709,1693596744957192709,2100,834.739,669.92,0.5956119337698633,-3.6768378897457574
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,28,1693596745107155709,1693596746841515709,1734,839.669,672.781,0.917545247052441,-3.863259181011588
1bdadc9b-5c8b-49e0-bd6a-b9e02d7b9d90,b95cd866-8086-4963-92d8-a7e09a43f353,29,1693596747038448709,1693596748729200709,1690,840.87,671.315,0.9958602553957728,-3.76766897659449
