section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,1,1694197961821289190,1694197962118390190,297,745.403,662.059,-5.231659991858357,-3.1586372306122485
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,2,1694197962143185190,1694197962933836190,790,750.034,678.033,-4.9332021752489705,-4.199057713106241
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,3,1694197962958775190,1694197963165306190,206,847.64,668.145,1.4376116862398172,-3.5607969362202643
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,4,1694197963208752190,1694197964365064190,1156,727.485,676.484,-6.40314415723521,-4.09387059115079
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,5,1694197964405842190,1694197964591753190,185,597.196,683.748,-14.882633601984432,-4.515683303848174
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,6,1694197964630661190,1694197964849435190,218,735.167,676.795,-5.902426494603061,-4.115702571775898
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,7,1694197964874678190,1694197964987167190,112,778.409,673.475,-3.081085526902713,-3.9060890143780966
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,8,1694197965011919190,1694197965349493190,337,839.828,668.697,0.9277356854701744,-3.5970131070592397
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,9,1694197965390188190,1694197965602626190,212,702.172,679.638,-8.053865184924355,-4.2925038034343705
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,10,1694197965640024190,1694197965955784190,315,572.993,682.737,-16.45165571702145,-4.43753114564214
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,11,1694197965996292190,1694197967527513190,1531,743.943,672.931,-5.3291665785387075,-3.86594475969684
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,12,1694197967643184190,1694197967743211190,100,745.939,666.133,-5.197559257631582,-3.4238502955515404
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,13,1694197967783816190,1694197968138125190,354,592.642,685.531,-15.179600805956264,-4.627912492624912
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,14,1694197968178134190,1694197968434058190,255,728.759,682.1,-6.321875772542799,-4.459306111577224
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,15,1694197968483787190,1694197968629343190,145,874.061,681.707,3.1640189352962667,-4.442755274205752
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,16,1694197968818159190,1694197969068163190,250,954.475,676.799,8.409825863594365,-4.108034981976703
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,17,1694197969099556190,1694197969383961190,284,988.377,679.766,10.62043707646323,-4.2898165098623915
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,18,1694197969424411190,1694197970396466190,972,845.907,654.078,1.3237446103097825,-2.643716313644955
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,19,1694197970546427190,1694197970740078190,193,837.287,672.887,0.7620595701775442,-3.870247465789521
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,20,1694197970780823190,1694197971280643190,499,722.749,671.497,-6.710359753577545,-3.7686935270983706
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,21,1694197971315263190,1694197971615643190,300,764.8,570.397,-3.966648102667959,2.811244575023955
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,22,1694197971671403190,1694197974215983190,2544,764.414,566.975,-3.992245589142136,3.034150153753395
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,23,1694197974358880190,1694197976040010190,1681,769.84,563.563,-3.638938966092494,3.2569747372917925
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,24,1694197976186931190,1694197980290151190,4103,765.533,580.689,-3.9176410235717354,2.140699262025618
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,25,1694197980449381190,1694197984543154190,4093,761.311,618.497,-4.191061410569665,-0.3228370730363387
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,26,1694197984562605190,1694197988846447190,4283,763.843,616.681,-4.026108849650003,-0.204568514717621
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,27,1694197989077479190,1694197989574482190,497,761.502,613.121,-4.178579583398992,0.027388956545549115
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,28,1694197989602676190,1694197992855703190,3253,761.846,613.279,-4.156216287552723,0.017095728784870475
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,29,1694197993027518190,1694197993746299190,718,758.927,605.828,-4.346457694633124,0.502551187390768
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,30,1694197993778393190,1694197997230725190,3452,764.016,584.134,-4.016194040360711,1.9161559628496063
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,31,1694197997383801190,1694197998146442190,762,759.642,608.818,-4.2997968754771225,0.307771740212205
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,32,1694197998171848190,1694197999496297190,1324,769.058,588.278,-3.687283825386108,1.6464225299168325
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,33,1694197999709501190,1694198002321295190,2611,766.995,608.931,-3.8207898936879476,0.30041221182861316
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,34,1694198002346944190,1694198003305828190,958,765.517,601.469,-3.917282534307756,0.7866860265721625
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,35,1694198003339970190,1694198003687080190,347,763.033,628.304,-4.079170493341016,-0.9618525033869861
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,36,1694198003878194190,1694198005834141190,1955,763.346,590.096,-4.0593506244490785,1.5276736406685223
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,37,1694198006302847190,1694198008246321190,1943,764.888,593.315,-3.9586459526022906,1.3179826230534535
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,38,1694198008412074190,1694198012008800190,3596,761.418,622.657,-4.184176249368113,-0.5939189348977876
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,39,1694198012227628190,1694198015568340190,3340,762.136,622.065,-4.137390019977148,-0.5553544056575788
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,40,1694198015737125190,1694198017527647190,1790,759.692,608.874,-4.296552097562374,0.3040681023814299
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,41,1694198017702679190,1694198020171263190,2468,771.637,591.354,-3.5189995675337586,1.446069510556596
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,42,1694198020346381190,1694198022118226190,1771,764.782,610.712,-3.964912548856493,0.18438523403009824
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,43,1694198022152509190,1694198022227522190,75,880.417,516.137,3.5863830091436535,6.3470241410592925
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,44,1694198022287021190,1694198023069089190,782,772.223,599.546,-3.4804150173341624,0.9121627143942657
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,45,1694198023134106190,1694198025830643190,2696,762.475,629.71,-4.115600880376739,-1.0534477040772674
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,46,1694198025865032190,1694198025961930190,96,849.635,529.178,1.570647785112066,5.500918963843311
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,47,1694198026021230190,1694198027711926190,1690,760.075,611.28,-4.271572847631114,0.14732146030703128
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,48,1694198027886933190,1694198031015007190,3128,763.07,611.314,-4.076473701560134,0.145166561808801
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,49,1694198031065435190,1694198031161936190,96,871.867,534.295,3.02306724795227,5.1655031540902545
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,50,1694198031215062190,1694198033608827190,2393,765.218,611.354,-3.9364970402558863,0.1425629187797639
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,51,1694198033640069190,1694198035440011190,1799,774.977,593.203,-3.301202028771036,1.3256655306689102
55ffb4d8-763e-4656-8871-b92642aaeb6e,3c41290a-01c0-49d3-b04c-c9fa1f5fbf99,52,1694198035590468190,1694198037081284190,1490,766.063,562.558,-3.885412992218065,3.322045839167182
