section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,1,1695243546232828121,1695243546401725121,168,996.497,735.405,11.195362957440222,-7.885247987254404
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,2,1695243546807759121,1695243548145236121,1337,955.62,659.82,8.478331339451172,-3.005379692047658
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,3,1695243548170446121,1695243548482966121,312,1014.905,667.762,12.34075464097487,-3.5040143350587063
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,4,1695243548520232121,1695243548604885121,84,938.72,662.705,7.377975035172272,-3.1961081988440387
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,5,1695243548662101121,1695243549079695121,417,711.777,637.66,-7.417441808947308,-1.5674926365692905
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,6,1695243549114071121,1695243549514305121,400,776.532,651.704,-3.2010401638227077,-2.4873887629132527
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,7,1695243549545189121,1695243549814347121,269,814.168,643.99,-0.7465509457963942,-1.9859708472724114
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,8,1695243549886044121,1695243551360891121,1474,1039.293,659.18,13.92189858708982,-2.942058846253622
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,9,1695243551398397121,1695243551627613121,229,912.898,649.047,5.691974389001973,-2.311404837178289
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,10,1695243551701725121,1695243552692042121,990,888.325,642.608,4.089345768596743,-1.8940864585431467
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,11,1695243552733025121,1695243552973564121,240,800.179,754.534,-1.6702073475847832,-9.186088448749933
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,12,1695243553014100121,1695243553142130121,128,814.212,620.456,-0.7434454475070598,-0.4510819625504454
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,13,1695243553182902121,1695243553395198121,212,931.728,635.686,6.917117469341518,-1.4402249919430048
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,14,1695243553420339121,1695243553620330121,199,992.85,637.158,10.895650178257734,-1.5292275267803903
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,15,1695243553714199121,1695243553820256121,106,1103.438,905.613,18.71638543726697,-18.640330380175524
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,16,1695243553898644121,1695243554054704121,156,1079.396,1004.534,17.624994374600526,-25.002234464417867
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,17,1695243554204703121,1695243555635842121,1431,857.919,603.656,2.1060705021239925,0.6446074675053525
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,18,1695243555660838121,1695243556848406121,1187,839.051,612.214,0.8759183709913103,0.08651772851664817
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,19,1695243556967103121,1695243566645246121,9678,841.022,626.85,1.0044842857804424,-0.8681098359960507
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,20,1695243566742092121,1695243566911056121,168,927.1,983.975,7.009120363531513,-23.996287922496332
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,21,1695243566995348121,1695243571885896121,4890,846.051,632.705,1.3324407968801364,-1.249931498034412
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,22,1695243571960828121,1695243572085869121,125,942.492,984.666,8.072484808164639,-24.021523136652952
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,23,1695243572151656121,1695243575129913121,2978,849.101,633.073,1.5313253123378527,-1.2738831115039828
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,24,1695243575154611121,1695243575620300121,465,854.114,613.444,1.857960727535216,0.0062934013038894844
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,25,1695243575648355121,1695243577807764121,2159,751.239,583.174,-4.848860868490009,1.9777989704690493
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,26,1695243577843101121,1695243582592272121,4749,853.009,640.04,1.7863508679536257,-1.7281724924840003
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,27,1695243582642189121,1695243582735956121,93,689.378,804.352,-8.998653200758117,-12.364864881242612
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,28,1695243582770191121,1695243583227767121,457,621.914,917.227,-13.754727620579382,-19.532978187935925
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,29,1695243583292145121,1695243583532754121,240,968.971,752.877,9.411773749165622,-9.033699780545579
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,30,1695243583657946121,1695243583959051121,301,806.577,671.091,-1.2425520476324206,-3.752771256790032
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,31,1695243583998471121,1695243584235871121,237,854.814,785.579,1.9269163591037586,-11.204338376319763
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,32,1695243584283024121,1695243584763969121,480,1040.503,677.784,14.011645745386536,-4.140712041149483
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,33,1695243584939385121,1695243585151676121,212,821.441,664.801,-0.2723546947894895,-3.3430762381632255
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,34,1695243585304582121,1695243585739120121,434,549.292,1046.811,-19.457379751747155,-27.60277664443307
a6ba59a3-fbfa-4bfa-883b-22dab25d3ba4,f259738e-1220-407a-827f-49766375acc0,35,1695243585773527121,1695243586029706121,256,739.155,1118.097,-6.293675907937824,-32.678280172083156
