section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294123863289,662.271,1174.709,1.0,1,,-12.27490971626245,-36.20005628220219
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294133645289,663.635,1174.77,1.0,1,,-12.172838682826471,-36.20787268857126
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294139450289,663.643,1174.568,1.0,1,,-12.170804846190242,-36.19470858882378
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294145792289,661.469,1174.027,1.0,1,,-12.330032260609329,-36.153344900052275
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294148792289,666.88,1166.79,1.0,1,,-11.872222960283102,-35.69721375082503
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294155113289,670.349,1153.278,1.0,1,,-11.522275132927769,-34.82764658629363
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294158194289,670.138,1153.742,1.0,1,,-11.541005860328578,-34.857240823714044
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294164410289,668.566,1154.502,1.0,1,,-11.6626887527085,-34.90253823117151
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294170730289,679.986,1155.029,1.0,1,,-10.81787080865225,-34.96579644787395
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294173782289,680.465,1150.427,1.0,1,,-10.75425055214796,-34.66770097617532
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294180115289,680.998,1144.331,1.0,1,,-10.678475314510369,-34.272858144306326
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294183183289,682.093,1145.239,1.0,1,,-10.602950143526105,-34.33445464888263
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294221024289,677.398,1153.875,1.0,,,-11.002917449670406,-34.88434948871345
bb95ab99-1b55-4df0-b75a-692ce601c58b,7af2f54f-2d1f-4f1b-ac1d-7c9659dbb7d9,1695911294223820289,677.801,1149.301,1.0,,,-10.944720777912869,-34.58801991824523
