section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049611507840,-0.303268,0.715256,-7.371902,-0.057617,-0.054688,0.993652,3.7241097467071222,-3.326069503742023,39.52006711272953,0.940542459487915,-0.03827881067991257,0.0207606740295887,0.3368731737136841
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049615342840,0.06485,0.469208,-7.555008,-0.051758,-0.058105,1.0,3.7213638633212547,-3.3279209484877397,39.48684922102409,0.9406403303146362,-0.03827991336584091,0.02074376493692398,0.33660081028938293
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049619177840,0.001907,0.471115,-7.493973,-0.045898,-0.059082,0.992676,3.717475784054066,-3.3303227731608267,39.45384625164189,0.9407376050949097,-0.038282230496406555,0.020715784281492233,0.3363303542137146
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049623012840,0.06485,-0.019073,-7.921219,-0.059082,-0.067383,0.993164,3.7142114908725787,-3.3343541125129805,39.41912878190927,0.9408394694328308,-0.03829945623874664,0.020688695833086967,0.3360449969768524
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049626847840,-0.423431,0.102997,-8.226395,-0.044434,-0.073242,1.00293,3.7081159083519224,-3.3417171702197668,39.38302216360684,0.9409453272819519,-0.038335494697093964,0.020629020407795906,0.33574795722961426
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049630682840,-0.303268,0.41008,-8.592606,-0.042969,-0.062012,0.983398,3.7032253139731393,-3.346447876139451,39.345274005697064,0.9410560727119446,-0.03835320472717285,0.020587563514709473,0.33543795347213745
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049634517840,-0.364304,0.104904,-8.592606,-0.043945,-0.057129,0.980957,3.697265737400296,-3.3503980040401427,39.30755666791595,0.9411669373512268,-0.03836141899228096,0.020539626479148865,0.3351288139820099
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049638352840,-0.669479,0.226974,-8.897781,-0.049316,-0.059082,0.981445,3.6929387775765683,-3.3561627644752763,39.268664074064844,0.9412805438041687,-0.03838912397623062,0.020500168204307556,0.3348087668418884
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049642187840,-0.423431,0.347137,-9.386063,-0.062988,-0.062988,0.989258,3.691887357289633,-3.3617023927189518,39.227731629706014,0.9413994550704956,-0.038424208760261536,0.020488986745476723,0.3344709277153015
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049646022840,-0.240326,0.469208,-9.202957,-0.055664,-0.058105,0.994629,3.689747831207432,-3.3652570258227943,39.18745256005566,0.9415168166160583,-0.038439951837062836,0.020474491640925407,0.33413946628570557
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049649857840,-0.79155,0.654221,-9.935379,-0.053711,-0.056152,0.987793,3.6879061529787847,-3.3710536651529925,39.14410235637995,0.9416426420211792,-0.038474440574645996,0.02045692503452301,0.3337818682193756
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049653692840,-0.484467,0.591278,-9.935379,-0.053223,-0.060059,1.00293,3.685476170847689,-3.3761593500681006,39.10064581129483,0.9417688250541687,-0.038501542061567307,0.0204366073012352,0.33342376351356506
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049657527840,-0.728607,0.652313,-10.362625,-0.05127,-0.067871,1.004395,3.682770435642171,-3.3840935103303234,39.05536314662941,0.941899836063385,-0.03855077177286148,0.02040639892220497,0.3330497443675995
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049661362840,-0.608444,0.53215,-10.362625,-0.049805,-0.053711,0.992187,3.6793840376309235,-3.3885643989741974,39.01004318988583,0.9420313835144043,-0.03856959566473961,0.02038075216114521,0.3326767385005951
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049665197840,-0.545502,0.900269,-10.362625,-0.056641,-0.06543,0.988281,3.679144505189742,-3.3953194554332105,38.96478839524228,0.9421617388725281,-0.038616351783275604,0.020374320447444916,0.33230242133140564
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049669032840,-0.301361,0.957489,-10.850906,-0.058105,-0.05127,0.991699,3.6792998324553197,-3.3980277702229005,38.91735179281724,0.9422987699508667,-0.03863061964511871,0.020383693277835846,0.3319113552570343
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049672867840,-0.118256,0.957489,-11.156082,-0.070312,-0.059082,0.985352,3.6821113186153176,-3.4017650633898326,38.868685333379744,0.9424386024475098,-0.03866080939769745,0.020412351936101913,0.33150890469551086
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049676702840,0.185013,0.837326,-10.972977,-0.047852,-0.054199,0.989258,3.6794937557230583,-3.403028997989102,38.82044816773491,0.9425783157348633,-0.03865503892302513,0.020403418689966202,0.3311125636100769
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049680537840,0.307083,0.654221,-11.217117,-0.049316,-0.072266,1.004395,3.6761250081667276,-3.407543426746369,38.77111059571716,0.9427207112312317,-0.03867364302277565,0.02037924714386463,0.33070626854896545
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049684372840,0.185013,1.020432,-11.095047,-0.058105,-0.070801,0.99707,3.676408972094475,-3.4122927706936412,38.72246058729258,0.9428602457046509,-0.03870485723018646,0.020384235307574272,0.33030423521995544
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049688207840,0.368118,0.837326,-11.949539,-0.045898,-0.063477,0.991699,3.6730936123876563,-3.4149583156618486,38.6698663977524,0.9430119395256042,-0.03870787471532822,0.020367000252008438,0.32987165451049805
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049692042840,0.370026,0.774384,-12.010574,-0.050781,-0.063965,0.978516,3.670743154929065,-3.417911444482822,38.6170836535723,0.9431637525558472,-0.03871602192521095,0.02035694569349289,0.3294370174407959
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049695877840,0.307083,1.020432,-12.559891,-0.051758,-0.060547,0.981445,3.669492416169522,-3.4204920135463466,38.56192007967339,0.9433220624923706,-0.03872385621070862,0.020357836037874222,0.32898247241973877
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049699712840,0.370026,0.774384,-12.742996,-0.053711,-0.052246,0.981934,3.667547504933799,-3.4210409185747026,38.5059644013257,0.9434828758239746,-0.03871285170316696,0.02035914920270443,0.32852229475975037
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049703547840,-0.181198,0.898361,-12.376785,-0.054687,-0.068359,0.993164,3.666295840203425,-3.4272280484367985,38.45177589548574,0.9436373710632324,-0.038750551640987396,0.020349333062767982,0.3280743360519409
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049835190840,0.795364,0.165939,-17.99202,-0.06543,-0.057129,0.983887,3.006675834394002,-3.619288828227762,33.95482530974644,0.9558557868003845,-0.03784910589456558,0.01586161181330681,0.29095619916915894
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049857088840,0.675201,0.469208,-17.198563,-0.064453,-0.064453,0.976562,3.006808526219363,-3.620906658655305,33.87956298723225,0.9560463428497314,-0.03785250708460808,0.01588345319032669,0.2903278172016144
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049878986840,0.795364,0.959396,-16.832352,-0.055664,-0.059082,1.004395,3.0069710722158134,-3.6203151959641136,33.8057339948405,0.9562333226203918,-0.03783774375915527,0.01591069996356964,0.28971195220947266
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049900884840,0.368118,1.325607,-16.527176,-0.072266,-0.065918,0.979492,3.0127097909505,-3.6233171759234684,33.73359078644046,0.9564141035079956,-0.037867240607738495,0.015974797308444977,0.2891070544719696
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049922782840,0.370026,1.44577,-15.977859,-0.060059,-0.068848,0.979004,3.0164619838303874,-3.6268431214156682,33.66367752392488,0.9565891027450562,-0.037896353751420975,0.016020294278860092,0.2885212004184723
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049944680840,0.247955,1.876831,-15.367508,-0.070312,-0.056641,0.979492,3.024451669911995,-3.6280895791176127,33.59660912288385,0.9567564129829407,-0.037917450070381165,0.016106028109788895,0.2879582345485687
e13954fe-2879-455f-924b-50d4d9ff96e9,f10199cf-1afa-4fbe-8b13-5ca13918adde,1695914049962179840,0.06485,1.934052,-14.818192,-0.07666,-0.063965,0.988769,3.0340933641835655,-3.63147873281106,33.53206011442687,0.9569164514541626,-0.03796084225177765,0.016199352219700813,0.2874150574207306
