section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,1,1707859056819673885,1707859059206826885,2387,787.767,518.334,-2.4756730873642403,6.205749638209256
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,2,1707859059231826885,1707859059422082885,190,793.427,521.467,-2.1050473135208025,6.0022878988291355
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,3,1707859059497080885,1707859061629108885,2132,797.073,514.077,-1.8675710411090756,6.484076803866114
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,4,1707859061704234885,1707859062655122885,950,1101.746,292.043,18.75939262644358,20.532426681513375
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,5,1707859062770124885,1707859062890250885,120,509.095,347.343,-21.156332320921816,16.902934013867846
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,6,1707859062910250885,1707859064606898885,1696,472.602,352.815,-23.55608263541297,16.46336063462793
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,7,1707859064707025885,1707859065727924885,1020,488.092,799.73,-22.21058061990705,-11.785323591852217
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,8,1707859065828040885,1707859066773934885,945,1110.345,767.722,18.694112911214027,-9.846837909848922
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,9,1707859066828928885,1707859069986846885,3157,786.303,527.129,-2.569863093887784,5.632601330376948
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,10,1707859070096973885,1707859071983748885,1886,1105.126,295.061,18.972139115524566,20.331464993760818
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,11,1707859072113885885,1707859073505144885,1391,472.968,345.345,-23.571284353460193,16.934879753445422
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,12,1707859073620270885,1707859075146666885,1526,489.654,818.659,-22.174853441943327,-12.984228149524919
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,13,1707859075371919885,1707859076012431885,640,1123.22,784.59,19.579712815151314,-10.902745206534048
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,14,1707859076057554885,1707859076222681885,165,1003.341,697.415,11.607000317434991,-5.4255045404667985
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,15,1707859076282692885,1707859077809203885,1526,791.892,529.832,-2.204191489392697,5.457138302685601
c9af7387-8c8b-4dda-a90f-cc63710d2ea3,3129ac2b-6372-4fae-a54f-83ef64e9edf1,16,1707859077849206885,1707859078249584885,400,784.754,684.061,-2.668391053345305,-4.596438789919882
