section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,1,1707859958077498292,1707859958452755292,375,760.238,561.856,-4.265375559049845,3.3671159090282887
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,2,1707859958547878292,1707859960239400292,1691,1047.336,346.088,14.864481439114211,17.199601543027562
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,3,1707859960354528292,1707859962031173292,1676,433.277,340.232,-26.245633221546782,17.14236151166022
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,4,1707859962126174292,1707859964168076292,2041,509.516,833.951,-20.925475833535057,-13.992789956307368
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,5,1707859964383328292,1707859965779597292,1396,1081.387,803.552,16.883221296081658,-12.176327398906134
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,6,1707859965874730292,1707859967791498292,1916,778.743,553.596,-3.059524021910219,3.907304100106966
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,7,1707859967816506292,1707859967926625292,110,817.358,519.284,-0.5399123411904923,6.146241778634869
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,8,1707859968011629292,1707859968111753292,100,1029.546,358.184,13.637898617121282,16.453949500568555
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,9,1707859968136752292,1707859968962513292,825,1065.002,363.693,15.983663865419174,16.039838627254163
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,10,1707859968982638292,1707859969458020292,475,1039.05,353.174,14.28758002988495,16.759792736952438
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,11,1707859969628147292,1707859970959419292,1331,417.098,338.081,-27.33901869514754,17.227524976257065
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,12,1707859971084541292,1707859972440808292,1356,503.011,855.256,-21.440840924912138,-15.326530029236887
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,13,1707859972560935292,1707859972635936292,75,1017.48,795.945,12.660221475045036,-11.771950229863808
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,14,1707859972660937292,1707859973902203292,1241,1071.679,819.388,16.286087303221212,-13.204056257292397
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,15,1707859974062330292,1707859975103219292,1040,775.765,559.679,-3.2529645615520466,3.5106300252956464
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,16,1707859975148344292,1707859975638726292,490,771.143,703.013,-3.5610174362626106,-5.8287628196829315
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,17,1707859975673851292,1707859975863979292,190,697.284,734.048,-8.4049793206476,-7.820121030957348
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,18,1707859975923979292,1707859976124232292,200,962.777,722.851,8.978947129877414,-7.092307975297454
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,19,1707859976159233292,1707859976319360292,160,1073.937,723.741,16.23572723459057,-7.073865043385357
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,20,1707859976349366292,1707859976514623292,165,1138.547,705.854,20.41342318056131,-5.874249562195442
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,21,1707859976559623292,1707859976719746292,160,989.564,724.771,10.7314376216665,-7.2020691577679905
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,22,1707859976794866292,1707859977925881292,1131,748.434,585.338,-5.031381482265046,1.836703244314121
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,23,1707859978041008292,1707859980733544292,2692,748.506,607.824,-5.025146014063495,0.37240235615432404
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,24,1707859980863670292,1707859981929559292,1065,746.12,631.874,-5.181096161866243,-1.1936206210326676
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,25,1707859981959685292,1707859983576081292,1616,749.458,613.82,-4.963103053896066,-0.018108774287206766
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,26,1707859983606207292,1707859985272732292,1666,751.472,605.946,-4.832017751117723,0.4947365752503422
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,27,1707859985302730292,1707859985823236292,520,754.144,583.781,-4.659537858661209,1.9384712389239713
363ee41f-d73a-4dee-aab9-a77964024108,aa54c637-e46c-412b-930c-689cb0654309,28,1707859985943363292,1707859993149959168,7206,754.109,624.745,-4.660334079231129,-0.7297058661515858
