section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464196968541419,5.599976,-6.191254,5.910873,0.024414,0.003418,0.973144,-0.906735026016351,-1.278836316207856,100.82997568141215,0.6370947360992432,-0.0010132445022463799,-0.01364212203770876,0.7706640362739563
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464196978833419,6.576538,-5.214691,6.76918,0.01416,0.026855,0.964844,-0.9509554322276156,-1.197196903697061,100.8920583893152,0.6366812586784363,-0.00025463104248046875,-0.013339143246412277,0.7710116505622864
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464196989125419,8.224487,-4.669189,7.192612,0.027344,0.015625,0.981934,-0.9930731599768201,-1.107841135143746,100.95646576626969,0.6362530589103699,0.0005326168611645699,-0.012971724383533001,0.7713711857795715
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464196997030419,9.994507,-3.875732,7.989883,0.036621,0.036621,0.965332,-1.0296079088029049,-1.0029198377531316,101.02493589466052,0.6357995867729187,0.001368677243590355,-0.012467581778764725,0.7717522382736206
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197004936419,9.994507,-3.566742,8.722305,0.027344,0.026855,0.959473,-1.070909057154857,-0.8931775862718547,101.0984647538709,0.6353116631507874,0.0022635143250226974,-0.011956287547945976,0.7721599340438843
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197012842419,9.992599,-3.324509,9.088516,0.022461,0.039062,0.961914,-1.1046080674291283,-0.7879248367936272,101.17802589090222,0.6347829699516296,0.0030821673572063446,-0.011431833729147911,0.7725997567176819
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197020748419,9.567261,-3.204346,9.637833,0.022461,0.036133,0.955078,-1.1317335517232212,-0.6818496192959348,101.26057280966982,0.6342343688011169,0.0038605788722634315,-0.010864212177693844,0.773054838180542
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197026430419,8.466721,-2.775192,9.817123,0.031738,0.040527,0.953613,-1.1826494419670743,-0.48801385583762946,101.43551232564768,0.6330675482749939,0.005292056128382683,-0.009830418974161148,0.7740160226821899
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197032115419,7.978439,-1.981735,10.370255,0.024902,0.040527,0.967773,-1.2007015285925173,-0.40003638379977613,101.52711467460765,0.6324551701545715,0.005907537415623665,-0.009331220760941505,0.7745181918144226
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197037800419,7.247925,-1.495361,10.305405,0.021484,0.049316,0.964355,-1.2109231291853912,-0.3231924282743478,101.62017803979724,0.6318319439888,0.006407979875802994,-0.00886308029294014,0.7750282287597656
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197043485419,6.088257,-0.637054,10.370255,0.032715,0.04248,0.975098,-1.2162096024119873,-0.2541983445956925,101.71173361569276,0.6312180161476135,0.006830909289419651,-0.008420160971581936,0.775529682636261
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197049170419,5.783081,0.213623,10.43129,0.024902,0.036621,0.972656,-1.2167858020528375,-0.18963380288219803,101.80164108525824,0.6306146383285522,0.007196740247309208,-0.00798074807971716,0.7760217189788818
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197054855419,5.353928,0.642776,10.187149,0.030273,0.033691,0.980469,-1.2110605720945156,-0.12613299702150602,101.89150369230974,0.6300113201141357,0.007513330318033695,-0.007513330318033695,0.7765132188796997
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197062819419,5.170822,1.192093,10.065079,0.023926,0.031738,1.00293,-1.2009412071635535,-0.07129634704960577,101.97835290206197,0.629427433013916,0.007751620374619961,-0.00708023551851511,0.7769883275032043
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197070783419,4.989624,1.678467,9.328842,0.029785,0.036133,0.998047,-1.1866802467595128,-0.01310363143020421,102.06040009262708,0.6288760304450989,0.007979298010468483,-0.006601618602871895,0.7774366140365601
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197078747419,4.991531,1.98555,9.271622,0.020508,0.038574,1.009766,-1.1704161021366155,0.046060649949286256,102.1400512276899,0.628340482711792,0.00819789245724678,-0.006105268374085426,0.7778712511062622
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197086711419,5.233765,2.532959,8.41713,0.01416,0.043457,1.007324,-1.1476535025660664,0.10494901941112074,102.21191710728415,0.627857506275177,0.008369773626327515,-0.005575455725193024,0.7782633304595947
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197094675419,4.745483,2.838135,7.928848,0.01416,0.035156,0.995117,-1.1201771293664673,0.15904679875933206,102.28077289382644,0.6273943185806274,0.00848260149359703,-0.005052395164966583,0.7786391377449036
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197102639419,4.19426,2.901077,7.135391,0.018066,0.028809,1.0,-1.088916254267249,0.20308494606409735,102.34309375984238,0.6269745826721191,0.008513779379427433,-0.004577367566525936,0.7789797186851501
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197114834419,4.013062,3.635406,6.76918,0.018555,0.021484,0.999512,-1.0569220437707305,0.24374795668603158,102.4002812381597,0.6265891194343567,0.008520818315446377,-0.004121632315218449,0.7792922854423523
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197127029419,3.158569,3.875732,5.910873,0.004395,0.034668,0.978516,-1.0149089577109383,0.28302432487235357,102.45144910998795,0.6262444257736206,0.008451474830508232,-0.003621017560362816,0.7795725464820862
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197139224419,2.729416,4.060745,5.182266,0.008789,0.019531,0.993652,-0.9744417816393065,0.3122895764572582,102.49611059632069,0.6259430646896362,0.008337346836924553,-0.003197513520717621,0.7798175811767578
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197151419419,2.182007,4.428864,4.51088,0.010742,0.01123,0.999023,-0.9322179779968708,0.33726293149723274,102.53694378404089,0.6256672739982605,0.008187408559024334,-0.002793998457491398,0.7800420522689819
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197163614419,1.878738,5.037308,4.079819,0.007813,0.005371,1.0,-0.8823370912322684,0.3534575243758547,102.57316487712816,0.6254224181175232,0.00793704017996788,-0.002408897504210472,0.7802422642707825
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197173378419,1.081467,6.319046,2.79808,0.006836,0.000977,0.994141,-0.8247119291576939,0.36915644564192174,102.60264021585705,0.6252233386039734,0.007630863226950169,-0.0019855285063385963,0.7804059982299805
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197183142419,0.28801,6.807327,1.825333,0.001953,0.004395,0.989258,-0.7637401481435419,0.37507852845270606,102.62643433831724,0.6250624060630798,0.007248269394040108,-0.0016110222786664963,0.7805394530296326
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197192906419,0.228882,7.293701,1.150131,-0.012207,0.001465,0.984863,-0.6952173363897892,0.37761406103994577,102.64187165520727,0.6249581575393677,0.0067955199629068375,-0.0012190639972686768,0.7806277275085449
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197202670419,0.534058,7.598877,0.421524,-0.023438,-0.004883,1.006348,-0.622956041633175,0.376349625063317,102.64930375323816,0.6249081492424011,0.006296413950622082,-0.0008331714197993279,0.7806724309921265
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197212434419,2.058029,7.600784,-0.738144,-0.001465,-0.016113,1.033203,-0.5454216406786065,0.3791105818973868,102.64872410205588,0.6249125599861145,0.005783251486718655,-0.00039156805723905563,0.7806732058525085
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197221985419,3.889084,7.234573,-1.897812,-0.008301,-0.004883,1.041992,-0.40476551822925505,0.42566176484444906,102.62045271425141,0.6251053810119629,0.005079030059278011,0.0006913775578141212,0.7805235385894775
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197231534419,6.456375,6.563187,-2.691269,-0.015137,-0.009766,1.053711,-0.3409454472071886,0.4797664120959203,102.59537736429697,0.6252756118774414,0.004939772188663483,0.0014069732278585434,0.7803871035575867
24602a6e-491f-44e1-ba0f-b64900360b5a,00503dca-8035-44dc-83cb-19b5fc17df97,1708464197241083419,9.138107,5.647659,-3.793716,-0.012695,-0.006348,1.046387,-0.2861066183370821,0.556901092285536,102.56232093416928,0.6254993677139282,0.004987831227481365,0.0022300751879811287,0.7802055478096008
