section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,1,1708544700271728397,1708544700491984397,220,769.738,448.391,-3.680545658073142,10.752568065616009
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,2,1708544700541982397,1708544700847363397,305,732.404,447.069,-6.139580913179022,10.822688389761831
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,3,1708544701062497397,1708544701222627397,160,763.259,480.643,-4.091943141307679,8.653962126946293
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,4,1708544701377745397,1708544702208508397,830,751.372,481.448,-4.871241524726103,8.59798789792952
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,5,1708544702248634397,1708544702473762397,225,700.764,578.003,-8.136365263556847,2.3086244687526434
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,6,1708544702513888397,1708544702764020397,250,738.24,481.701,-5.732205998328385,8.576729158243758
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,7,1708544702799143397,1708544705051180397,2252,745.138,422.648,-5.319589875235753,12.41375431782951
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,8,1708544705096314397,1708544706707705397,1611,715.7,548.867,-7.172444511838656,4.204588048683
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,9,1708544706832833397,1708544707248214397,415,856.191,385.418,2.0376038081529155,14.850139787861544
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,10,1708544707293340397,1708544708489369397,1196,752.955,398.895,-4.821429420314507,13.958333601597397
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,11,1708544708879740397,1708544709189995397,310,944.311,1266.622,9.57835593832289,-42.381136052790964
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,12,1708544709245121397,1708544709425249397,180,842.142,1276.47,1.3738084325214406,-43.17581734464397
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,13,1708544709750629397,1708544711081779397,1331,992.824,1241.532,13.213206232109322,-40.58530367452957
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,14,1708544711347030397,1708544711677411397,330,880.994,1240.334,4.392013398984328,-40.74299989188834
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,15,1708544711702411397,1708544712037667397,335,997.602,1259.839,13.784608206432653,-41.77616301501098
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,16,1708544712297921397,1708544712683302397,385,773.685,490.842,-3.404458652548207,7.993153815625792
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,17,1708544712748303397,1708544714254702397,1506,740.934,488.685,-5.551683569170501,8.123948392459473
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,18,1708544714299828397,1708544716596867397,2297,870.728,377.176,3.0101821911442355,15.380822942420009
9f16bc75-d24e-4a38-8038-360057e4228a,f2d8da04-5ba1-45a4-949e-ce93a056e9ce,19,1708544716641991397,1708544718869034397,2227,646.225,395.386,-11.899188576745914,14.089096941909567
